sample_id	filename	exists	is_bigwig	file_size_mb	chromosomes	n_bases_covered	min_val	max_val	sum_data	error
SRR7443583	SRR7443583.bw	True	True	44.731	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	313943	3070304600	
SRR7443584	SRR7443584.bw	True	True	51.255	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	559300	3823959966	
SRR7443585	SRR7443585.bw	True	True	54.829	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	754223	5781345698	
SRR7443586	SRR7443586.bw	True	True	46.246	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	464228	3437053165	
SRR7443587	SRR7443587.bw	True	True	32.438	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	331849	2342245693	
SRR7443588	SRR7443588.bw	True	True	36.650	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	255165	2146585035	
SRR7443589	SRR7443589.bw	True	True	51.756	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	348461	3344088217	
SRR7443590	SRR7443590.bw	True	True	33.998	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	259119	2551018008	
SRR7443591	SRR7443591.bw	True	True	33.986	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	298079	1882336000	
SRR7443592	SRR7443592.bw	True	True	45.640	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	149568	2054294167	
SRR7443593	SRR7443593.bw	True	True	46.519	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	570033	2293443895	
SRR7443594	SRR7443594.bw	True	True	36.438	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	1271730	2036782331	
SRR7443595	SRR7443595.bw	True	True	48.955	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	519530	2933499912	
SRR7443596	SRR7443596.bw	True	True	53.485	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	591168	3347724600	
SRR7443597	SRR7443597.bw	True	True	41.085	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	408672	1962781035	
SRR7443598	SRR7443598.bw	True	True	47.105	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	492337	2168187877	
SRR7443599	SRR7443599.bw	True	True	51.880	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	589665	2175920948	
SRR7443600	SRR7443600.bw	True	True	30.161	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	499859	2076161316	
SRR7443601	SRR7443601.bw	True	True	40.238	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	362364	2945521353	
SRR7443602	SRR7443602.bw	True	True	34.768	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	445505	1905192944	
