sample_id	filename	exists	is_bigwig	file_size_mb	chromosomes	n_bases_covered	min_val	max_val	sum_data	error
SRR941632	SRR941632.bw	True	True	39.002	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	44047	925032041	none
SRR941633	SRR941633.bw	True	True	36.853	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	19720	790268266	none
SRR941634	SRR941634.bw	True	True	43.112	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	15109	1195897293	none
SRR941635	SRR941635.bw	True	True	39.748	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	9848	868086068	none
SRR941636	SRR941636.bw	True	True	33.332	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	7282	616050087	none
SRR941637	SRR941637.bw	True	True	44.614	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	13258	1075909870	none
SRR941638	SRR941638.bw	True	True	45.322	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	11328	1066411926	none
SRR941639	SRR941639.bw	True	True	40.360	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	12753	966071868	none
SRR941640	SRR941640.bw	True	True	31.731	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	9694	595182397	none
SRR941641	SRR941641.bw	True	True	29.567	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	9998	563838011	none
SRR941642	SRR941642.bw	True	True	34.807	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	12723	750914658	none
SRR941643	SRR941643.bw	True	True	31.183	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	23061	700582981	none
SRR941644	SRR941644.bw	True	True	31.038	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	9588	652862691	none
SRR941645	SRR941645.bw	True	True	33.071	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	8409	691925495	none
SRR941646	SRR941646.bw	True	True	40.414	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	13170	1050642521	none
SRR941647	SRR941647.bw	True	True	47.974	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	16739	1288949203	none
SRR941648	SRR941648.bw	True	True	45.572	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	19394	1393975348	none
SRR941649	SRR941649.bw	True	True	45.109	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	15683	1270332931	none
SRR941650	SRR941650.bw	True	True	50.535	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	23244	1662107140	none
SRR941651	SRR941651.bw	True	True	37.732	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	19291	952321531	none
SRR941697	SRR941697.bw	True	True	46.930	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	27718	1442109833	none
SRR941698	SRR941698.bw	True	True	49.858	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	33659	1636875666	none
SRR941699	SRR941699.bw	True	True	46.510	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	26408	1357726242	none
SRR941700	SRR941700.bw	True	True	46.523	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	18842	1338021810	none
SRR941701	SRR941701.bw	True	True	47.298	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	18204	1297115890	none
SRR941702	SRR941702.bw	True	True	51.641	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	21318	1583369664	none
