sample_id	filename	output_type	tissue	stage	n_chromosomes	n_bases_covered	sum_data	mean_signal	min_val	max_val	file_size_mb
SRR7443583	SRR7443583.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T2	7	100286401	3070304600	30.6154	0	313943	44.731
SRR7443584	SRR7443584.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T3	7	100286401	3823959966	38.1304	0	559300	51.255
SRR7443585	SRR7443585.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T0	7	100286401	5781345698	57.6484	0	754223	54.829
SRR7443586	SRR7443586.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T1	7	100286401	3437053165	34.2724	0	464228	46.246
SRR7443587	SRR7443587.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T1	7	100286401	2342245693	23.3556	0	331849	32.438
SRR7443588	SRR7443588.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T2	7	100286401	2146585035	21.4045	0	255165	36.650
SRR7443589	SRR7443589.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T4	7	100286401	3344088217	33.3454	0	348461	51.756
SRR7443590	SRR7443590.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T0	7	100286401	2551018008	25.4373	0	259119	33.998
SRR7443591	SRR7443591.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T3	7	100286401	1882336000	18.7696	0	298079	33.986
SRR7443592	SRR7443592.bw	RNA_SEQ	Muscle (hlh-1)	Embryo T4	7	100286401	2054294167	20.4843	0	149568	45.640
SRR7443593	SRR7443593.bw	RNA_SEQ	Pharynx (pha-4)	Embryo T4	7	100286401	2293443895	22.8689	0	570033	46.519
SRR7443594	SRR7443594.bw	RNA_SEQ	Pharynx (pha-4)	Embryo T4	7	100286401	2036782331	20.3097	0	1271730	36.438
SRR7443595	SRR7443595.bw	RNA_SEQ	Intestine (end1)	Embryo T0	7	100286401	2933499912	29.2512	0	519530	48.955
SRR7443596	SRR7443596.bw	RNA_SEQ	Intestine (end1)	Embryo T1	7	100286401	3347724600	33.3816	0	591168	53.485
SRR7443597	SRR7443597.bw	RNA_SEQ	Intestine (end1)	Embryo T2	7	100286401	1962781035	19.5718	0	408672	41.085
SRR7443598	SRR7443598.bw	RNA_SEQ	Intestine (end1)	Embryo T3	7	100286401	2168187877	21.62	0	492337	47.105
SRR7443599	SRR7443599.bw	RNA_SEQ	Intestine (end1)	Embryo T4	7	100286401	2175920948	21.6971	0	589665	51.880
SRR7443600	SRR7443600.bw	RNA_SEQ	Intestine (end1)	Embryo T0	7	100286401	2076161316	20.7023	0	499859	30.161
SRR7443601	SRR7443601.bw	RNA_SEQ	Intestine (end1)	Embryo T1	7	100286401	2945521353	29.3711	0	362364	40.238
SRR7443602	SRR7443602.bw	RNA_SEQ	Intestine (end1)	Embryo T2	7	100286401	1905192944	18.9975	0	445505	34.768
