sample_id	filename	output_type	tissue	stage	n_chromosomes	n_bases_covered	sum_data	mean_signal	min_val	max_val	file_size_mb
SRR941632	SRR941632.bw	RNA_SEQ	Whole worm (N2)	0hr	7	100286401	925032041	9.2239	0	44047	39.002
SRR941633	SRR941633.bw	RNA_SEQ	Whole worm (N2)	2hr	7	100286401	790268266	7.88011	0	19720	36.853
SRR941634	SRR941634.bw	RNA_SEQ	Whole worm (N2)	4hr	7	100286401	1195897293	11.9248	0	15109	43.112
SRR941635	SRR941635.bw	RNA_SEQ	Whole worm (N2)	6hr	7	100286401	868086068	8.65607	0	9848	39.748
SRR941636	SRR941636.bw	RNA_SEQ	Whole worm (N2)	8hr	7	100286401	616050087	6.14291	0	7282	33.332
SRR941637	SRR941637.bw	RNA_SEQ	Whole worm (N2)	10hr	7	100286401	1075909870	10.7284	0	13258	44.614
SRR941638	SRR941638.bw	RNA_SEQ	Whole worm (N2)	12hr	7	100286401	1066411926	10.6337	0	11328	45.322
SRR941639	SRR941639.bw	RNA_SEQ	Whole worm (N2)	14hr	7	100286401	966071868	9.63313	0	12753	40.360
SRR941640	SRR941640.bw	RNA_SEQ	Whole worm (N2)	16hr	7	100286401	595182397	5.93483	0	9694	31.731
SRR941641	SRR941641.bw	RNA_SEQ	Whole worm (N2)	18hr	7	100286401	563838011	5.62228	0	9998	29.567
SRR941642	SRR941642.bw	RNA_SEQ	Whole worm (N2)	20hr	7	100286401	750914658	7.4877	0	12723	34.807
SRR941643	SRR941643.bw	RNA_SEQ	Whole worm (N2)	22hr	7	100286401	700582981	6.98582	0	23061	31.183
SRR941644	SRR941644.bw	RNA_SEQ	Whole worm (N2)	24hr	7	100286401	652862691	6.50998	0	9588	31.038
SRR941645	SRR941645.bw	RNA_SEQ	Whole worm (N2)	26hr	7	100286401	691925495	6.89949	0	8409	33.071
SRR941646	SRR941646.bw	RNA_SEQ	Whole worm (N2)	28hr	7	100286401	1050642521	10.4764	0	13170	40.414
SRR941647	SRR941647.bw	RNA_SEQ	Whole worm (N2)	30hr	7	100286401	1288949203	12.8527	0	16739	47.974
SRR941648	SRR941648.bw	RNA_SEQ	Whole worm (N2)	32hr	7	100286401	1393975348	13.8999	0	19394	45.572
SRR941649	SRR941649.bw	RNA_SEQ	Whole worm (N2)	34hr	7	100286401	1270332931	12.6671	0	15683	45.109
SRR941650	SRR941650.bw	RNA_SEQ	Whole worm (N2)	36hr	7	100286401	1662107140	16.5736	0	23244	50.535
SRR941651	SRR941651.bw	RNA_SEQ	Whole worm (N2)	38hr	7	100286401	952321531	9.49602	0	19291	37.732
SRR941697	SRR941697.bw	RNA_SEQ	Whole worm (N2)	38hr	7	100286401	1442109833	14.3799	0	27718	46.930
SRR941698	SRR941698.bw	RNA_SEQ	Whole worm (N2)	40hr	7	100286401	1636875666	16.322	0	33659	49.858
SRR941699	SRR941699.bw	RNA_SEQ	Whole worm (N2)	42hr	7	100286401	1357726242	13.5385	0	26408	46.510
SRR941700	SRR941700.bw	RNA_SEQ	Whole worm (N2)	44hr	7	100286401	1338021810	13.342	0	18842	46.523
SRR941701	SRR941701.bw	RNA_SEQ	Whole worm (N2)	46hr	7	100286401	1297115890	12.9341	0	18204	47.298
SRR941702	SRR941702.bw	RNA_SEQ	Whole worm (N2)	48hr	7	100286401	1583369664	15.7885	0	21318	51.641
