group_id	output_type	tissue	stage	n_replicates	sample_ids	sample_mean_signals	mean_signal_after_average	replicate_mean_cv	sample_sum_data
RNA_SEQ_001	RNA_SEQ	Intestine (end1)	Embryo T0	2	SRR7443595,SRR7443600	29.2512,20.7023	24.9768	0.242024	2933499912,2076161316
RNA_SEQ_002	RNA_SEQ	Intestine (end1)	Embryo T1	2	SRR7443596,SRR7443601	33.3816,29.3711	31.3763	0.0903818	3347724600,2945521353
RNA_SEQ_003	RNA_SEQ	Intestine (end1)	Embryo T2	2	SRR7443597,SRR7443602	19.5718,18.9975	19.2846	0.0210578	1962781035,1905192944
RNA_SEQ_004	RNA_SEQ	Intestine (end1)	Embryo T3	1	SRR7443598	21.62	21.62	0	2168187877
RNA_SEQ_005	RNA_SEQ	Intestine (end1)	Embryo T4	1	SRR7443599	21.6971	21.6971	0	2175920948
RNA_SEQ_006	RNA_SEQ	Muscle (hlh-1)	Embryo T0	2	SRR7443585,SRR7443590	57.6484,25.4373	41.5429	0.54827	5781345698,2551018008
RNA_SEQ_007	RNA_SEQ	Muscle (hlh-1)	Embryo T1	2	SRR7443586,SRR7443587	34.2724,23.3556	28.814	0.267903	3437053165,2342245693
RNA_SEQ_008	RNA_SEQ	Muscle (hlh-1)	Embryo T2	2	SRR7443583,SRR7443588	30.6154,21.4045	26.0099	0.250408	3070304600,2146585035
RNA_SEQ_009	RNA_SEQ	Muscle (hlh-1)	Embryo T3	2	SRR7443584,SRR7443591	38.1304,18.7696	28.45	0.4812	3823959966,1882336000
RNA_SEQ_010	RNA_SEQ	Muscle (hlh-1)	Embryo T4	2	SRR7443589,SRR7443592	33.3454,20.4843	26.9149	0.337887	3344088217,2054294167
RNA_SEQ_011	RNA_SEQ	Pharynx (pha-4)	Embryo T4	2	SRR7443593,SRR7443594	22.8689,20.3097	21.5893	0.0838206	2293443895,2036782331
