group_id	output_type	tissue	stage	n_replicates	sample_ids	sample_mean_signals	mean_signal_after_average	replicate_mean_cv	sample_sum_data
RNA_SEQ_T00	RNA_SEQ	Whole worm (N2)	0hr	1	SRR941632	9.2239	9.2239	0	925032041
RNA_SEQ_T02	RNA_SEQ	Whole worm (N2)	2hr	1	SRR941633	7.88011	7.88011	0	790268266
RNA_SEQ_T04	RNA_SEQ	Whole worm (N2)	4hr	1	SRR941634	11.9248	11.9248	0	1195897293
RNA_SEQ_T06	RNA_SEQ	Whole worm (N2)	6hr	1	SRR941635	8.65607	8.65607	0	868086068
RNA_SEQ_T08	RNA_SEQ	Whole worm (N2)	8hr	1	SRR941636	6.14291	6.14291	0	616050087
RNA_SEQ_T10	RNA_SEQ	Whole worm (N2)	10hr	1	SRR941637	10.7284	10.7284	0	1075909870
RNA_SEQ_T12	RNA_SEQ	Whole worm (N2)	12hr	1	SRR941638	10.6337	10.6337	0	1066411926
RNA_SEQ_T14	RNA_SEQ	Whole worm (N2)	14hr	1	SRR941639	9.63313	9.63313	0	966071868
RNA_SEQ_T16	RNA_SEQ	Whole worm (N2)	16hr	1	SRR941640	5.93483	5.93483	0	595182397
RNA_SEQ_T18	RNA_SEQ	Whole worm (N2)	18hr	1	SRR941641	5.62228	5.62228	0	563838011
RNA_SEQ_T20	RNA_SEQ	Whole worm (N2)	20hr	1	SRR941642	7.4877	7.4877	0	750914658
RNA_SEQ_T22	RNA_SEQ	Whole worm (N2)	22hr	1	SRR941643	6.98582	6.98582	0	700582981
RNA_SEQ_T24	RNA_SEQ	Whole worm (N2)	24hr	1	SRR941644	6.50998	6.50998	0	652862691
RNA_SEQ_T26	RNA_SEQ	Whole worm (N2)	26hr	1	SRR941645	6.89949	6.89949	0	691925495
RNA_SEQ_T28	RNA_SEQ	Whole worm (N2)	28hr	1	SRR941646	10.4764	10.4764	0	1050642521
RNA_SEQ_T30	RNA_SEQ	Whole worm (N2)	30hr	1	SRR941647	12.8527	12.8527	0	1288949203
RNA_SEQ_T32	RNA_SEQ	Whole worm (N2)	32hr	1	SRR941648	13.8999	13.8999	0	1393975348
RNA_SEQ_T34	RNA_SEQ	Whole worm (N2)	34hr	1	SRR941649	12.6671	12.6671	0	1270332931
RNA_SEQ_T36	RNA_SEQ	Whole worm (N2)	36hr	1	SRR941650	16.5736	16.5736	0	1662107140
RNA_SEQ_T38	RNA_SEQ	Whole worm (N2)	38hr	2	SRR941651,SRR941697	9.49602,14.3799	11.938	0.289281	952321531,1442109833
RNA_SEQ_T40	RNA_SEQ	Whole worm (N2)	40hr	1	SRR941698	16.322	16.322	0	1636875666
RNA_SEQ_T42	RNA_SEQ	Whole worm (N2)	42hr	1	SRR941699	13.5385	13.5385	0	1357726242
RNA_SEQ_T44	RNA_SEQ	Whole worm (N2)	44hr	1	SRR941700	13.342	13.342	0	1338021810
RNA_SEQ_T46	RNA_SEQ	Whole worm (N2)	46hr	1	SRR941701	12.9341	12.9341	0	1297115890
RNA_SEQ_T48	RNA_SEQ	Whole worm (N2)	48hr	1	SRR941702	15.7885	15.7885	0	1583369664
