group_id	filename	exists	is_bigwig	file_size_mb	chromosomes	n_bases_covered	min_val	max_val	sum_data	mean_signal	error
RNA_SEQ_001	RNA_SEQ_001.bw	True	True	78.954	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	396643	2504830614	24.9768	
RNA_SEQ_002	RNA_SEQ_002.bw	True	True	85.213	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	476082	3146622976	31.3764	
RNA_SEQ_003	RNA_SEQ_003.bw	True	True	76.711	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	331426	1933986989	19.2846	
RNA_SEQ_004	RNA_SEQ_004.bw	True	True	47.105	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	492337	2168187877	21.62	
RNA_SEQ_005	RNA_SEQ_005.bw	True	True	51.880	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	589665	2175920948	21.6971	
RNA_SEQ_006	RNA_SEQ_006.bw	True	True	81.499	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	506671	4166181853	41.5428	
RNA_SEQ_007	RNA_SEQ_007.bw	True	True	76.775	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	398038	2889649429	28.814	
RNA_SEQ_008	RNA_SEQ_008.bw	True	True	78.676	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	238139	2608444817	26.01	
RNA_SEQ_009	RNA_SEQ_009.bw	True	True	82.814	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	428689	2853147983	28.45	
RNA_SEQ_010	RNA_SEQ_010.bw	True	True	90.707	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	248633	2699191192	26.9148	
RNA_SEQ_011	RNA_SEQ_011.bw	True	True	81.603	I:15072434,II:15279421,III:13783801,IV:17493829,V:20924180,X:17718942,MtDNA:13794	100286401	0	829714	2165113113	21.5893	
