chromosome	gene_biotype	n_genes
I	antisense_RNA	14
I	lincRNA	23
I	miRNA	33
I	ncRNA	809
I	piRNA	98
I	protein_coding	2878
I	pseudogene	188
I	rRNA	5
I	snRNA	16
I	snoRNA	74
I	tRNA	66
II	antisense_RNA	14
II	lincRNA	43
II	miRNA	49
II	ncRNA	1089
II	piRNA	109
II	protein_coding	3449
II	pseudogene	334
II	snRNA	16
II	snoRNA	71
II	tRNA	57
III	antisense_RNA	10
III	lincRNA	29
III	miRNA	27
III	ncRNA	764
III	piRNA	78
III	protein_coding	2640
III	pseudogene	180
III	snRNA	13
III	snoRNA	54
III	tRNA	64
IV	antisense_RNA	23
IV	lincRNA	26
IV	miRNA	50
IV	ncRNA	1058
IV	piRNA	14714
IV	protein_coding	3281
IV	pseudogene	381
IV	snRNA	41
IV	snoRNA	59
IV	tRNA	71
MtDNA	protein_coding	12
MtDNA	rRNA	2
MtDNA	tRNA	22
V	antisense_RNA	32
V	lincRNA	35
V	miRNA	28
V	ncRNA	1524
V	piRNA	202
V	protein_coding	4994
V	pseudogene	867
V	rRNA	15
V	snRNA	40
V	snoRNA	55
V	tRNA	78
X	antisense_RNA	7
X	lincRNA	38
X	miRNA	74
X	ncRNA	2520
X	piRNA	162
X	protein_coding	2731
X	pseudogene	178
X	snRNA	3
X	snoRNA	33
X	tRNA	276
