rank	run_id	checkpoint	checkpoint_exists	checkpoint_size_bytes	checkpoint_sha256	config_exists	config_sha256	metrics_exists	metrics_sha256	best_step	full_mse	pearson
1	rna_seq11_1bpB_broad_w12_track_hard15_beta05_from_w10best1000_lr1e-5_seedrand_1500steps	runs/rna_seq11_1bpB_broad_w12_track_hard15_beta05_from_w10best1000_lr1e-5_seedrand_1500steps/adapter_head_best.pt	True	5664456	d4f178c836410651dbaf7c5008d5f919204868911f0b964c7e0a66bee1e56fca	True	01ce7436d81f28138abfe243e54751df70aafdedebb30b99d1a9b4d312438fe5	True	ab3037cca022edbb7c26961faaedbfb5548ebf86d4702c2568309d0a13a31310	750	0.8355771	0.69463443
2	rna_seq11_1bpB_broad_w13_track_hard15_beta05_from_w10best1000_lr3e-6_seedrand_1000steps	runs/rna_seq11_1bpB_broad_w13_track_hard15_beta05_from_w10best1000_lr3e-6_seedrand_1000steps/adapter_head_best.pt	True	5664456	dcd19383404b4591a57999a70ff842c2c10e4dffe2a2b1d55853a219dcad6c2d	True	7cfebc346337366c7e91cc994ead082fd91873630a63e7a71dd2cc85bab2f6b6	True	5dc7d3298da78e95f2620511b5ccfdffa93fed82264ebf69e615b7fe9e84d7b8	250	0.83563143	0.6944516
3	rna_seq11_1bpB_broad_w10_track_hard15_beta05_from_w6beta05best1500_lr1e-5_seedrand_1500steps	runs/rna_seq11_1bpB_broad_w10_track_hard15_beta05_from_w6beta05best1500_lr1e-5_seedrand_1500steps/adapter_head_best.pt	True	5664456	9cbba92e756a1dc05c6440f0bc59b0636e41bec9bf8ce178cb60e8e5257f7aec	True	0be114d0e59332f60ea85adceaae95294e659e92f46884a9b9e4403bb84e281a	True	a49ae8d758fc31ac582d3c7b53961a5e7492c9ecea20522251a0e3d05966a7e4	1000	0.83564435	0.69462896
4	rna_seq11_1bpB_broad_w11_track_hard15_beta05_from_w10best750_lr1e-6_seedrand_1000steps	runs/rna_seq11_1bpB_broad_w11_track_hard15_beta05_from_w10best750_lr1e-6_seedrand_1000steps/adapter_head_best.pt	True	5664392	cabaf8f1801ad5adbd744917392126fd54e73d92963595084e88979151703473	True	fe292939ea9e1855239ac970f635fdb358d38d0b85b5587398453ae0ea92c746	True	0f83cf04fdbc9e3ce0ff23437228372387a548ed3a28900f7b779154bfa8a3db	250	0.83573077	0.69436124
5	rna_seq11_1bpB_broad_w11_uniform_beta05_from_w10best1000_lr3e-6_seedrand_1000steps	runs/rna_seq11_1bpB_broad_w11_uniform_beta05_from_w10best1000_lr3e-6_seedrand_1000steps/adapter_head_best.pt	True	5664328	5cee293222bba57986f12789d58c30de38b2ecc6303fda3e52952232a980d853	True	5b10b743b2f2895e4b47c572be6e4119dc350fe78a08576d86bc35c039112601	True	ecd08a220504d8e4cca8448a8640f2fc8854b1ece8068fd690db6b2acdbc90e3	250	0.83574712	0.69432326
6	rna_seq11_1bpB_calib_w1_rank1_trackaffine_lr3e-5_1000steps	runs/rna_seq11_1bpB_calib_w1_rank1_trackaffine_lr3e-5_1000steps/adapter_head_best.pt	True	5665622	0839f73ff7d47f40a42b4476920b4c7adb1cf08014f26d33e59cc7c401569175	True	43a6a80a4190e60d52243c91bfa587b412b3c88ba0394e8c952d03c74a97acc8	True	76b76336e66ea4e8634f4acc3b6f165925691bf25f14d8224cc544ee039cd3d2	250	0.83577257	0.69463217
7	rna_seq11_1bpB_calib_w1_rank3_trackaffine_lr3e-5_1000steps	runs/rna_seq11_1bpB_calib_w1_rank3_trackaffine_lr3e-5_1000steps/adapter_head_best.pt	True	5665622	5c27cc012b8769dc78e49d7a3c60354ebe4faedc92d1aeeedb401f9de49d3208	True	c4796d9f3665b25b27a0364fb63d68822eac0ad40b2ad442285b3900668e9e6e	True	4c99fb53115a8a5ad18dad4f8b2c42ff5c917db28c19f8c8c3dc5af0e19a9921	250	0.83581003	0.69462708
8	rna_seq11_1bpB_broad_w6_track_hard15_beta05_from_w5best_lr1e-5_seedrand_1500steps	runs/rna_seq11_1bpB_broad_w6_track_hard15_beta05_from_w5best_lr1e-5_seedrand_1500steps/adapter_head_best.pt	True	5664392	906da0d38b9a56f32510cf1f9afa84148f2716a6f17c03b00e6f3b00cf5f4d4e	True	8102d36c6123046f19b3f8d69ab0a7fd2c60fc990524c0409cfcefe779089646	True	d74a076d4645328bb66db4f8f85ae809bc31d3f014445bedee3271344bb97e4b	1500	0.83582169	0.69423686
9	rna_seq11_1bpB_geneaux_w1_rank1_lambda003_lr3e-6_1000steps	runs/rna_seq11_1bpB_geneaux_w1_rank1_lambda003_lr3e-6_1000steps/adapter_head_best.pt	True	5664968	959abb734757db94b8c6100b4951d4718c5e64493f04f0180a810e7da9835971	True	83a3283ad532670bad407b794feccf40aa5475555937148c238f7fccc6dd168c	True	b7d4ff478846743dd32a3a6414f18ae44c2b0813f67b25c71872c5f2db2f3ec5	250	0.83582663	0.69441821
10	rna_seq11_1bpB_broad_w10_track_hard15_beta05_from_w6beta05best1500_lr3e-6_seedrand_1000steps	runs/rna_seq11_1bpB_broad_w10_track_hard15_beta05_from_w6beta05best1500_lr3e-6_seedrand_1000steps/adapter_head_best.pt	True	5664456	ca62d0a59867d50a2dac42d7147f002e26bceee731b15a1f4373ddc203a6c534	True	9cf79691485835339ee99ad85a4d174c40e85632cc013520043dadbc146322d2	True	f4b7ee652c3be11a9070b34cc2a9d17b7245540654dd4fc9496f06129e65b03f	750	0.83583516	0.69431161
