group_id	path	exists	size_bytes	sha256	sample_ids	n_replicates	input_files_declared	normalization_plan	normalization_status	ontology_curie
RNA_SEQ_001	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_001.bw	True	82789179	9ef66eb8535b5cab9cb14d9e71296909f92b65db20b53e5dd4301573e2a82d50	SRR7443595,SRR7443600	2	tracks/rna_seq/SRR7443595.bw,tracks/rna_seq/SRR7443600.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_002	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_002.bw	True	89352195	c9b0942137520e4704c8bad531d10e606c6705e7e91e5b97221bc341553a8b74	SRR7443596,SRR7443601	2	tracks/rna_seq/SRR7443596.bw,tracks/rna_seq/SRR7443601.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_003	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_003.bw	True	80437778	0105269762323e1ad2a7b3a7702d3f1faba235aba7bbd8662f2cd4f70ddd9cca	SRR7443597,SRR7443602	2	tracks/rna_seq/SRR7443597.bw,tracks/rna_seq/SRR7443602.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_004	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_004.bw	True	49392693	c4421031a85b68159e4f449d46e3cdc27e7b012a9ac4778fcbfc6c59586ec88b	SRR7443598	1	tracks/rna_seq/SRR7443598.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_005	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_005.bw	True	54399981	b9f64f5d9179ef090dfdacdc0acf70dc89f475aad4952e265d11a74eb8b9cc3d	SRR7443599	1	tracks/rna_seq/SRR7443599.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_006	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_006.bw	True	85457784	955cf9d94ee56a7d70461033d87ee385694af6a2af561736cc2b2f8d7127b959	SRR7443585,SRR7443590	2	tracks/rna_seq/SRR7443585.bw,tracks/rna_seq/SRR7443590.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_007	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_007.bw	True	80504877	da32da45da3a6146f8f42067f69b34c011da74a1356111230d8940ff8ac4fd9b	SRR7443586,SRR7443587	2	tracks/rna_seq/SRR7443586.bw,tracks/rna_seq/SRR7443587.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_008	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_008.bw	True	82497654	adf5fa13053438e05099654f8d23f0e304a5999a8dc6cd3ffa9e5f7eb4526027	SRR7443583,SRR7443588	2	tracks/rna_seq/SRR7443583.bw,tracks/rna_seq/SRR7443588.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_009	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_009.bw	True	86837239	53142df89a3b2e238d0b727c9dfa6feda109a0ceaed6afc2a78e3f16ac830e13	SRR7443584,SRR7443591	2	tracks/rna_seq/SRR7443584.bw,tracks/rna_seq/SRR7443591.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_010	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_010.bw	True	95113136	a7856fe50b608d41d3311d68d231d7a8bfa208cba7c4b474879071d579114597	SRR7443589,SRR7443592	2	tracks/rna_seq/SRR7443589.bw,tracks/rna_seq/SRR7443592.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
RNA_SEQ_011	alphagenome_custom/tracks/rna_seq_grouped/RNA_SEQ_011.bw	True	85566631	3835a27a8c3cb98a94192ed7945cca98b38326b992058361967a4db55c47d86c	SRR7443593,SRR7443594	2	tracks/rna_seq/SRR7443593.bw,tracks/rna_seq/SRR7443594.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping	replicates_averaged_existing_scale	not_available
