sample_id	path	exists	size_bytes	sha256	declared_legacy_path	declared_legacy_path_exists	normalization_status	data_source	stage	tissue
SRR7443583	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443583.bw	True	46903378	a20c611bf0a0c581ee4d6b898ecf34d02bf0da29f1a7867e7f65de527e6d6674	alphagenome_custom/tracks/rna_seq/SRR7443583.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T2	Muscle (hlh-1)
SRR7443584	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443584.bw	True	53744272	65d8fcea8e094f41122733c917b90d70069688d8b034a8b17b4efd3027df5b8d	alphagenome_custom/tracks/rna_seq/SRR7443584.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T3	Muscle (hlh-1)
SRR7443585	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443585.bw	True	57491862	7aea7bfa558d0040d649e9f9649e755ad26b2166edd3496e231825f92616ca0e	alphagenome_custom/tracks/rna_seq/SRR7443585.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T0	Muscle (hlh-1)
SRR7443586	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443586.bw	True	48492461	2abeefb449c98bd11d5eb6dbc86b8a2ebe939414e565649bde718fbd8f82ca06	alphagenome_custom/tracks/rna_seq/SRR7443586.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T1	Muscle (hlh-1)
SRR7443587	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443587.bw	True	34013220	68627bc83587897c67e58e0ea4b40e558de8d6094f15edf6e93fbafaca305179	alphagenome_custom/tracks/rna_seq/SRR7443587.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T1	Muscle (hlh-1)
SRR7443588	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443588.bw	True	38430123	97b57d0a0336c7091072a0216ba0b4fa674ec93d6d3c5fb90e41d8057a1683b7	alphagenome_custom/tracks/rna_seq/SRR7443588.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T2	Muscle (hlh-1)
SRR7443589	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443589.bw	True	54270249	a4ad705f07d9bf289e450c00a56e81a8b792d41d163c62f4b7d807824554a755	alphagenome_custom/tracks/rna_seq/SRR7443589.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T4	Muscle (hlh-1)
SRR7443590	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443590.bw	True	35649428	8ce7b82b15cabc6e49dd1b695655306699c5d3d580572defacce62aeab770234	alphagenome_custom/tracks/rna_seq/SRR7443590.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T0	Muscle (hlh-1)
SRR7443591	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443591.bw	True	35637013	2fb514653259a5ebd19d11f1288faa9249fd29fa555cf400eb926357f21d8c55	alphagenome_custom/tracks/rna_seq/SRR7443591.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T3	Muscle (hlh-1)
SRR7443592	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443592.bw	True	47857513	e444842cb6c2cc0fd8eed553fc40b438d4a83af768062ee9a7d3bfd13885f0e3	alphagenome_custom/tracks/rna_seq/SRR7443592.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T4	Muscle (hlh-1)
SRR7443593	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443593.bw	True	48779066	f4ce98cb2b0d6c381d70b963132359b703e0410ad0c13566df7711014b2aae5e	alphagenome_custom/tracks/rna_seq/SRR7443593.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T4	Pharynx (pha-4)
SRR7443594	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443594.bw	True	38208363	da0de9bfd7bb70f1f5fc96c44887d82243eb019f6d3f52477f14a5f701c03a3b	alphagenome_custom/tracks/rna_seq/SRR7443594.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T4	Pharynx (pha-4)
SRR7443595	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443595.bw	True	51333266	7ba26e86bf8f6e440958917e2d7911d7c46ca41b915beddcd39df90eb8a97b59	alphagenome_custom/tracks/rna_seq/SRR7443595.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T0	Intestine (end1)
SRR7443596	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443596.bw	True	56083038	cdb3ccb802f34edb84e4ffd38d634c85e225c67929fac8e6a6ebe3c9ebb47425	alphagenome_custom/tracks/rna_seq/SRR7443596.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T1	Intestine (end1)
SRR7443597	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443597.bw	True	43081105	5690b641c5aa58d41316f076a3aec96a2c05424f6ed77724996c34db427c9eb3	alphagenome_custom/tracks/rna_seq/SRR7443597.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T2	Intestine (end1)
SRR7443598	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443598.bw	True	49392693	c4421031a85b68159e4f449d46e3cdc27e7b012a9ac4778fcbfc6c59586ec88b	alphagenome_custom/tracks/rna_seq/SRR7443598.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T3	Intestine (end1)
SRR7443599	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443599.bw	True	54399981	b9f64f5d9179ef090dfdacdc0acf70dc89f475aad4952e265d11a74eb8b9cc3d	alphagenome_custom/tracks/rna_seq/SRR7443599.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T4	Intestine (end1)
SRR7443600	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443600.bw	True	31625832	6c4aaa23c3c53a0a5459334d6fcba610caf89d7208df7a7f75dbf9c10835d211	alphagenome_custom/tracks/rna_seq/SRR7443600.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T0	Intestine (end1)
SRR7443601	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443601.bw	True	42192344	7480aac5c4c27e57ef5e0821c2db5f188e1c1dc9fd185358c231b3424b8b7213	alphagenome_custom/tracks/rna_seq/SRR7443601.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T1	Intestine (end1)
SRR7443602	alphagenome_custom/tracks/bw_2026.4.20.training_input_bigwig/SRR7443602.bw	True	36456823	84e647dd891d22e42a4f047a80f83d170f92f3e30d35cf6f5ba259fcadfaa14b	alphagenome_custom/tracks/rna_seq/SRR7443602.bw	False	unknown_from_metadata	Warner/Murray 2019	Embryo T2	Intestine (end1)
