group_id	organism	output_type	assay	strand	tissue	stage	sex	condition	data_source	n_replicates	sample_ids	input_files	aggregated_file_path	normalization_plan
RNA_SEQ_001	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Intestine (end1)	Embryo T0	Hermaphrodite		Warner/Murray 2019	2	SRR7443595,SRR7443600	tracks/rna_seq/SRR7443595.bw,tracks/rna_seq/SRR7443600.bw	tracks/rna_seq_grouped/RNA_SEQ_001.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_002	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Intestine (end1)	Embryo T1	Hermaphrodite		Warner/Murray 2019	2	SRR7443596,SRR7443601	tracks/rna_seq/SRR7443596.bw,tracks/rna_seq/SRR7443601.bw	tracks/rna_seq_grouped/RNA_SEQ_002.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_003	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Intestine (end1)	Embryo T2	Hermaphrodite		Warner/Murray 2019	2	SRR7443597,SRR7443602	tracks/rna_seq/SRR7443597.bw,tracks/rna_seq/SRR7443602.bw	tracks/rna_seq_grouped/RNA_SEQ_003.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_004	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Intestine (end1)	Embryo T3	Hermaphrodite		Warner/Murray 2019	1	SRR7443598	tracks/rna_seq/SRR7443598.bw	tracks/rna_seq_grouped/RNA_SEQ_004.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_005	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Intestine (end1)	Embryo T4	Hermaphrodite		Warner/Murray 2019	1	SRR7443599	tracks/rna_seq/SRR7443599.bw	tracks/rna_seq_grouped/RNA_SEQ_005.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_006	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Muscle (hlh-1)	Embryo T0	Hermaphrodite		Warner/Murray 2019	2	SRR7443585,SRR7443590	tracks/rna_seq/SRR7443585.bw,tracks/rna_seq/SRR7443590.bw	tracks/rna_seq_grouped/RNA_SEQ_006.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_007	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Muscle (hlh-1)	Embryo T1	Hermaphrodite		Warner/Murray 2019	2	SRR7443586,SRR7443587	tracks/rna_seq/SRR7443586.bw,tracks/rna_seq/SRR7443587.bw	tracks/rna_seq_grouped/RNA_SEQ_007.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_008	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Muscle (hlh-1)	Embryo T2	Hermaphrodite		Warner/Murray 2019	2	SRR7443583,SRR7443588	tracks/rna_seq/SRR7443583.bw,tracks/rna_seq/SRR7443588.bw	tracks/rna_seq_grouped/RNA_SEQ_008.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_009	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Muscle (hlh-1)	Embryo T3	Hermaphrodite		Warner/Murray 2019	2	SRR7443584,SRR7443591	tracks/rna_seq/SRR7443584.bw,tracks/rna_seq/SRR7443591.bw	tracks/rna_seq_grouped/RNA_SEQ_009.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_010	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Muscle (hlh-1)	Embryo T4	Hermaphrodite		Warner/Murray 2019	2	SRR7443589,SRR7443592	tracks/rna_seq/SRR7443589.bw,tracks/rna_seq/SRR7443592.bw	tracks/rna_seq_grouped/RNA_SEQ_010.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_011	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Pharynx (pha-4)	Embryo T4	Hermaphrodite		Warner/Murray 2019	2	SRR7443593,SRR7443594	tracks/rna_seq/SRR7443593.bw,tracks/rna_seq/SRR7443594.bw	tracks/rna_seq_grouped/RNA_SEQ_011.bw	verify existing scale; then average replicates per AlphaGenome RNA-seq grouping
