group_id	organism	output_type	assay	strand	tissue	stage	sex	condition	data_source	n_replicates	sample_ids	input_files	aggregated_file_path	normalization_plan
RNA_SEQ_T00	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	0hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941632	tracks/bw_2026.5.18/SRR941632.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T00.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T02	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	2hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941633	tracks/bw_2026.5.18/SRR941633.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T02.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T04	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	4hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941634	tracks/bw_2026.5.18/SRR941634.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T04.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T06	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	6hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941635	tracks/bw_2026.5.18/SRR941635.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T06.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T08	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	8hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941636	tracks/bw_2026.5.18/SRR941636.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T08.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T10	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	10hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941637	tracks/bw_2026.5.18/SRR941637.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T10.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T12	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	12hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941638	tracks/bw_2026.5.18/SRR941638.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T12.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T14	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	14hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941639	tracks/bw_2026.5.18/SRR941639.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T14.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T16	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	16hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941640	tracks/bw_2026.5.18/SRR941640.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T16.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T18	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	18hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941641	tracks/bw_2026.5.18/SRR941641.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T18.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T20	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	20hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941642	tracks/bw_2026.5.18/SRR941642.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T20.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T22	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	22hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941643	tracks/bw_2026.5.18/SRR941643.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T22.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T24	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	24hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941644	tracks/bw_2026.5.18/SRR941644.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T24.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T26	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	26hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941645	tracks/bw_2026.5.18/SRR941645.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T26.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T28	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	28hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941646	tracks/bw_2026.5.18/SRR941646.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T28.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T30	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	30hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941647	tracks/bw_2026.5.18/SRR941647.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T30.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T32	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	32hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941648	tracks/bw_2026.5.18/SRR941648.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T32.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T34	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	34hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941649	tracks/bw_2026.5.18/SRR941649.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T34.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
RNA_SEQ_T36	caenorhabditis_elegans	RNA_SEQ	RNA-seq	.	Whole worm (N2)	36hr	Hermaphrodite		Grün et al. 2013 (GSE49043)	1	SRR941650	tracks/bw_2026.5.18/SRR941650.bw	tracks/rna_seq_grouped_2026.5.18/RNA_SEQ_T36.bw	verify existing scale; average replicates per AlphaGenome RNA-seq grouping
