organism	output_type	name	strand	track_index	assay	data_source	ontology_curie	biosample_name	biosample_type	stage	sex	sample_id	file_path	google_drive_id	normalization_status
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t2 RNA-seq	.	0	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T2	Hermaphrodite	SRR7443583	tracks/rna_seq/SRR7443583.bw	1rISMYTTJMQx9bkqY3heKVv6qRNOilHYU	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t3 RNA-seq	.	1	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T3	Hermaphrodite	SRR7443584	tracks/rna_seq/SRR7443584.bw	1nVPfyku8XMIGUJdznVtfogE5IZ4MvWVu	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t0 RNA-seq	.	2	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T0	Hermaphrodite	SRR7443585	tracks/rna_seq/SRR7443585.bw	1TEa79VsmRWqrJ6qQUL8p7WyfdH8N6NHA	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t1 RNA-seq	.	3	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T1	Hermaphrodite	SRR7443586	tracks/rna_seq/SRR7443586.bw	12FgS8Bdc7oQ-wt545Nt7PkcWxtd0xk-J	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t1 RNA-seq	.	4	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T1	Hermaphrodite	SRR7443587	tracks/rna_seq/SRR7443587.bw	1aDR9ZaHqyMHlLYTPLavHT45-KCCI-UwS	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t2 RNA-seq	.	5	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T2	Hermaphrodite	SRR7443588	tracks/rna_seq/SRR7443588.bw	1pECtW_9urCz-GIEYjnpYhG3mmiwgHcyP	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t4 RNA-seq	.	6	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	SRR7443589	tracks/rna_seq/SRR7443589.bw	16PB34qlD0wBEjuFVPdItV6v3i839nBVx	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t0 RNA-seq	.	7	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T0	Hermaphrodite	SRR7443590	tracks/rna_seq/SRR7443590.bw	15GM1wZn1wYU4_J_yNlfQ-esMDY1zXk0V	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t3 RNA-seq	.	8	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T3	Hermaphrodite	SRR7443591	tracks/rna_seq/SRR7443591.bw	1qLwXh60qj688V7v-N96UJ9lsjCAFDae6	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:muscle_hlh_1:embryo_t4 RNA-seq	.	9	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	SRR7443592	tracks/rna_seq/SRR7443592.bw	15S8S0r6WM1GexgmO55MuVvdE59WWtoJa	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:pharynx_pha_4:embryo_t4 RNA-seq	.	10	RNA-seq	Warner/Murray 2019		Pharynx (pha-4)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	SRR7443593	tracks/rna_seq/SRR7443593.bw	14StsY0r-bogWUh1JfAuxU24DUlwwtPoe	unknown_from_metadata
caenorhabditis_elegans	RNA_SEQ	CUSTOM:pharynx_pha_4:embryo_t4 RNA-seq	.	11	RNA-seq	Warner/Murray 2019		Pharynx (pha-4)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	SRR7443594	tracks/rna_seq/SRR7443594.bw	1Uj9pMJFDhg-AbCUwb9WmhZBx5doQeDC7	unknown_from_metadata
