organism	output_type	name	strand	track_index	assay	data_source	ontology_curie	biosample_name	biosample_type	stage	sex	group_id	n_replicates	sample_ids	file_path	normalization_status
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Intestine (end1):Embryo T0 RNA-seq	.	0	RNA-seq	Warner/Murray 2019		Intestine (end1)	tissue_or_facs_enriched_cell_type	Embryo T0	Hermaphrodite	RNA_SEQ_001	2	SRR7443595,SRR7443600	tracks/rna_seq_grouped/RNA_SEQ_001.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Intestine (end1):Embryo T1 RNA-seq	.	1	RNA-seq	Warner/Murray 2019		Intestine (end1)	tissue_or_facs_enriched_cell_type	Embryo T1	Hermaphrodite	RNA_SEQ_002	2	SRR7443596,SRR7443601	tracks/rna_seq_grouped/RNA_SEQ_002.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Intestine (end1):Embryo T2 RNA-seq	.	2	RNA-seq	Warner/Murray 2019		Intestine (end1)	tissue_or_facs_enriched_cell_type	Embryo T2	Hermaphrodite	RNA_SEQ_003	2	SRR7443597,SRR7443602	tracks/rna_seq_grouped/RNA_SEQ_003.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Intestine (end1):Embryo T3 RNA-seq	.	3	RNA-seq	Warner/Murray 2019		Intestine (end1)	tissue_or_facs_enriched_cell_type	Embryo T3	Hermaphrodite	RNA_SEQ_004	1	SRR7443598	tracks/rna_seq_grouped/RNA_SEQ_004.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Intestine (end1):Embryo T4 RNA-seq	.	4	RNA-seq	Warner/Murray 2019		Intestine (end1)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	RNA_SEQ_005	1	SRR7443599	tracks/rna_seq_grouped/RNA_SEQ_005.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Muscle (hlh-1):Embryo T0 RNA-seq	.	5	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T0	Hermaphrodite	RNA_SEQ_006	2	SRR7443585,SRR7443590	tracks/rna_seq_grouped/RNA_SEQ_006.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Muscle (hlh-1):Embryo T1 RNA-seq	.	6	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T1	Hermaphrodite	RNA_SEQ_007	2	SRR7443586,SRR7443587	tracks/rna_seq_grouped/RNA_SEQ_007.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Muscle (hlh-1):Embryo T2 RNA-seq	.	7	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T2	Hermaphrodite	RNA_SEQ_008	2	SRR7443583,SRR7443588	tracks/rna_seq_grouped/RNA_SEQ_008.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Muscle (hlh-1):Embryo T3 RNA-seq	.	8	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T3	Hermaphrodite	RNA_SEQ_009	2	SRR7443584,SRR7443591	tracks/rna_seq_grouped/RNA_SEQ_009.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Muscle (hlh-1):Embryo T4 RNA-seq	.	9	RNA-seq	Warner/Murray 2019		Muscle (hlh-1)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	RNA_SEQ_010	2	SRR7443589,SRR7443592	tracks/rna_seq_grouped/RNA_SEQ_010.bw	replicates_averaged_existing_scale
caenorhabditis_elegans	RNA_SEQ	CUSTOM:Pharynx (pha-4):Embryo T4 RNA-seq	.	10	RNA-seq	Warner/Murray 2019		Pharynx (pha-4)	tissue_or_facs_enriched_cell_type	Embryo T4	Hermaphrodite	RNA_SEQ_011	2	SRR7443593,SRR7443594	tracks/rna_seq_grouped/RNA_SEQ_011.bw	replicates_averaged_existing_scale
