ontology_type	source_value	curie	ontology_label	mapping_status	ontology_source	ontology_sha256
anatomy	Intestine (end1)	WBbt:0005772	intestine	supported_anatomy	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	L3 body wall muscle	WBbt:0006804	body wall muscle cell	supported_anatomy	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	L3 seamcell	WBbt:0005753	seam cell	supported_anatomy	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	Muscle (hlh-1)	WBbt:0003675	muscle cell	supported_broad_anatomy	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	Pharynx (pha-4)	WBbt:0003681	pharynx	supported_anatomy	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	Whole Organism	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	Whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	Whole worm	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	early embryo	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	embryo	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	embryonic total RNA	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	embryos	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
anatomy	whole animal L1 Larvae	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	shared/metadata_sources/v2/ontologies/wbbt.obo	4037264444d21d6d463d58bb3cee5bdd76ab5e0f17f2ed7e948f0cb443c22b28
