run_accession	experiment_accession	batch	library_layout	library_selection	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes
SRR10882545	SRX7551587	sharepoint_2026-07-13_new439	SINGLE	cDNA	20615924	3113004524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/045/SRR10882545/SRR10882545.fastq.gz	d17780f6f640de7f861f696eafb537d7	1772340596
SRR10882546	SRX7551588	sharepoint_2026-07-13_new439	SINGLE	cDNA	21758853	3285586803	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/046/SRR10882546/SRR10882546.fastq.gz	7169bca4ac2adeb48de75ffb904b139f	1864312853
SRR10882547	SRX7551589	sharepoint_2026-07-13_new439	SINGLE	cDNA	19668140	2969889140	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/047/SRR10882547/SRR10882547.fastq.gz	5b26b2a77bbc84d528927ccdd493b67f	1712661205
SRR10882548	SRX7551590	sharepoint_2026-07-13_new439	SINGLE	cDNA	23513093	3550477043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/048/SRR10882548/SRR10882548.fastq.gz	e7e5505a5ccf1915e7b620dc25c8c97b	2006849351
SRR10882549	SRX7551591	sharepoint_2026-07-13_new439	SINGLE	cDNA	25149368	3797554568	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/049/SRR10882549/SRR10882549.fastq.gz	b738d5133f95f8474d5a924236ac7e57	2162746250
SRR10882550	SRX7551592	sharepoint_2026-07-13_new439	SINGLE	cDNA	21674491	3272848141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/050/SRR10882550/SRR10882550.fastq.gz	f00f03eb0d16f6843099cc0537424308	1861457963
SRR10882551	SRX7551593	sharepoint_2026-07-13_new439	SINGLE	cDNA	23874963	3605119413	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/051/SRR10882551/SRR10882551.fastq.gz	71346be38a9051725058910b7aaaffaa	2047424995
SRR10882552	SRX7551594	sharepoint_2026-07-13_new439	SINGLE	cDNA	20301202	3065481502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/052/SRR10882552/SRR10882552.fastq.gz	d848b37372efd64696c8734af879c91d	1756845138
SRR12483327	SRX8976748	sharepoint_2026-07-13_new439	SINGLE	cDNA	90275346	4604042646	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/027/SRR12483327/SRR12483327.fastq.gz	c447ca38062d63490bb873a09688a512	2395748492
SRR12483328	SRX8976749	sharepoint_2026-07-13_new439	SINGLE	cDNA	73390372	3742908972	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/028/SRR12483328/SRR12483328.fastq.gz	db2b8cb50e19ca7066893868176dae8d	1938384566
SRR12483329	SRX8976750	sharepoint_2026-07-13_new439	SINGLE	cDNA	71468591	3644898141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/029/SRR12483329/SRR12483329.fastq.gz	de00b5202bde7830eb427c228586a998	1896843473
SRR12483330	SRX8976751	sharepoint_2026-07-13_new439	SINGLE	cDNA	33540691	1710575241	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/030/SRR12483330/SRR12483330.fastq.gz	dd8eb48fcc697ce2b4452b68d4593d4f	937807116
SRR12483331	SRX8976752	sharepoint_2026-07-13_new439	SINGLE	cDNA	34377762	1753265862	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/031/SRR12483331/SRR12483331.fastq.gz	d3b351956399252ebc706801bc61f520	980000168
SRR12483332	SRX8976753	sharepoint_2026-07-13_new439	SINGLE	cDNA	33527317	1709893167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/032/SRR12483332/SRR12483332.fastq.gz	8fed702f7e836c6aaa43e10c122072dd	953237894
SRR12483333	SRX8976754	sharepoint_2026-07-13_new439	SINGLE	cDNA	35962338	1834079238	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/033/SRR12483333/SRR12483333.fastq.gz	863a72b55dcbc89c9053cc3610f8a95c	988058106
SRR12483334	SRX8976755	sharepoint_2026-07-13_new439	SINGLE	cDNA	47947695	2445332445	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/034/SRR12483334/SRR12483334.fastq.gz	6bf1a68b9f290f58967e8546400a4bdd	1338065881
SRR12483335	SRX8976756	sharepoint_2026-07-13_new439	SINGLE	cDNA	33974930	1732721430	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/035/SRR12483335/SRR12483335.fastq.gz	3315c2d677e0c07272ed3a50a185bea9	952682197
SRR12483336	SRX8976757	sharepoint_2026-07-13_new439	SINGLE	cDNA	33781506	1722856806	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/036/SRR12483336/SRR12483336.fastq.gz	019706508dc4f9316958f895b8bcb655	943847681
SRR12483337	SRX8976758	sharepoint_2026-07-13_new439	SINGLE	cDNA	34571693	1763156343	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/037/SRR12483337/SRR12483337.fastq.gz	c4a2ba61d3ca8ceaa9d9f83b75bf5055	965302413
SRR12483338	SRX8976759	sharepoint_2026-07-13_new439	SINGLE	cDNA	29619499	1510594449	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/038/SRR12483338/SRR12483338.fastq.gz	adaebe6a0684b7fb40e2cc0ed5987736	823989022
SRR12483339	SRX8976760	sharepoint_2026-07-13_new439	SINGLE	cDNA	87554806	4465295106	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/039/SRR12483339/SRR12483339.fastq.gz	61e5232241d4f1fc714e280065460600	2393452002
SRR12483340	SRX8976761	sharepoint_2026-07-13_new439	SINGLE	cDNA	83240161	4245248211	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/040/SRR12483340/SRR12483340.fastq.gz	f2e7d3d4be0d8da74fe67131fbb47ded	2208127395
SRR12483341	SRX8976762	sharepoint_2026-07-13_new439	SINGLE	cDNA	83897969	4278796419	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/041/SRR12483341/SRR12483341.fastq.gz	d98ac4d913e0568f462901a6a27267f1	2267815985
SRR12483342	SRX8976763	sharepoint_2026-07-13_new439	SINGLE	cDNA	32149177	1639608027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/042/SRR12483342/SRR12483342.fastq.gz	0b08aad0437d9448c81b8b31326ef4d9	888559051
