aggregation_policy	completed_at	decoded_total_relative_tolerance	group_id	n_biological_units	n_runs	normalization_deviation_reason	output_decoded_relative_target_error	output_decoded_total_signal	output_header_relative_target_error	output_header_total_signal	output_is_symlink	output_path	output_reconstruction_relative_error	output_sha256	output_size_bytes	reconstruction_expected_total_signal	run_accessions	source_decoded_rescale_to_1e8	source_decoded_total_signal	source_signature_sha256
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:41:28+00:00	1e-06	RNA_V2_G0001	3	8	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	2.49518305063e-10	99999999.975	1e-08	99999999	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0001.bw	2.49518305063e-10	689efb680528fd406d5d411fb95563f5764dd1053cfa712f91cd5b4064bfa22b	66194109	100000000	SRR2541829;SRR2541830;SRR2541831;SRR2541832;SRR2541833;SRR2541834;SRR2541835;SRR2541836	1.00323496685;1.00316412043;1.00256362575;1.00290776006;1.002601884;1.00224519643;1.00258328924;1.00223854163	99677546.4416;99684585.9653;99744292.9618;99710067.0497;99740486.8232;99775983.318;99742336.6951;99776645.8249	f97d9d9da066817ad2b0adaa9de52647611cb1ae8dbeeb11f648e472742d9e57
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:41:49+00:00	1e-06	RNA_V2_G0002	4	6	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	1.40937566757e-10	100000000.014	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0002.bw	1.40937566757e-10	7e79661f2e2e3d148ca4596c763222c1607a469f79c538bb9fc8ba962d706aa8	107297108	100000000	SRR1956664;SRR1956665;SRR1956666;SRR1956667;SRR1956668;SRR1956669	1.00242735547;1.00210656838;1.00141446875;1.00124533337;1.00292518275;1.00186057525	99757852.2313;99789785.9918;99858752.9144;99875621.5552;99708334.8985;99814288.0065	c55310847d941cfa0f5b0232b4edcfb90af735a36d7f5fb43c9b13aa366fdf5d
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:42:07+00:00	1e-06	RNA_V2_G0003	4	5	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	4.15870547295e-11	100000000.004	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0003.bw	4.15870547295e-11	df6e71b2c3d8f218ed0ec8cdf90382e7efe3fb06f086485e68ea2f0dd1b9a89b	91915902	100000000	SRR1956670;SRR1956671;SRR1956672;SRR1956673;SRR1956674	1.00288840045;1.0032009391;1.00164771256;1.00054493399;1.00054036355	99711991.8383;99680927.4214;99835499.7927;99945536.2802;99945992.8289	21a72a5bdcdf7bf1250754099e2c556849647d7228f8dda2f4062bad1cd7847b
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:42:33+00:00	1e-06	RNA_V2_G0004	4	12	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	1.37107074261e-11	100000000.001	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0004.bw	1.37107074261e-11	79978e63d4a1512c9fbaee1b4d9cb7bcbf11dcb4e06650561d9552edbc1af41c	111063900	100000000	SRR1956641;SRR1956642;SRR1956643;SRR1956644;SRR1956645;SRR1956646;SRR1956647;SRR1956659;SRR1956660;SRR1956661;SRR1956662;SRR1956663	1.0042037885;1.00449029031;1.00414251146;1.0035273458;1.00341531227;1.00292378418;1.00279528962;1.00242456114;1.00277019102;1.00239892502;1.00195051268;1.00076200634	99581380.9356;99552978.2261;99587457.8142;99648505.2631;99659631.239;99708473.9416;99721250.2244;99758130.3136;99723746.1741;99760681.6047;99805328.4409;99923857.3872	728968a310c8332409e49c80bf29147bde5118834aa53ef1d74491115a1da640
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:42:49+00:00	1e-06	RNA_V2_G0005	4	4	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	1.03549957275e-10	100000000.01	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0005.bw	1.03549957275e-10	6d1ee5439be86d2b9084f081c12a9fc1f1edaf38bbf2773cbd1eabda70282d98	77979700	100000000	SRR1956694;SRR1956695;SRR1956696;SRR1956697	1.00632450186;1.00381834483;1.00373742471;1.00303823558	99371524.6077;99619617.9464;99627649.1625;99697096.7332	1caa056c656e619f852d8109c6bc240d2d0b018b8ea1e612fdc8ae0b4fe608d0
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:43:04+00:00	1e-06	RNA_V2_G0006	4	4	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	4.33924794197e-11	100000000.004	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0006.bw	4.33924794197e-11	13b35ea3cfd0c367e2053e1d74e3ead233b330dbfb2f3468d45d096b081e4934	73277740	100000000	SRR1956698;SRR1956699;SRR1956700;SRR1956701	1.00658844393;1.00706985946;1.0048248236;1.00307209895	99345467.9542;99297977.2565;99519834.3544;99693730.9933	4814a2b814a80dee5b03c7425fb39f036f5635c93efb981c6926c27e0b24d453
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:43:34+00:00	1e-06	RNA_V2_G0007	3	6	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	7.52218067646e-11	100000000.008	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0007.bw	7.52218067646e-11	024ee5dec7b0a17b23555d8b840d23acc41e4124682028d8ec7e7eb57cb958f2	156732159	100000000	SRR4069206;SRR4069207;SRR4069208;SRR4069209;SRR4069210;SRR4069211	1.01523330109;1.01872102681;1.01580012859;1.02607056571;1.03008411217;1.03359924105	98499527.047;98162300.9325;98444563.242;97459183.9411;97079450.9096;96749297.0468	207eab2704570e97f665564a18b2ea14f6db900468b5aecff64f061f593ce20d
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:44:03+00:00	1e-06	RNA_V2_G0008	3	6	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	1.43776088953e-10	99999999.9856	1e-08	99999999	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0008.bw	1.43776088953e-10	934ff6928484f43dd974971a19c356b429d833f10d7d32ecfff465f05c551c26	150949461	100000000	SRR3535753;SRR3535754;SRR3535755;SRR3535756;SRR3535757;SRR3535758	1.01545007646;1.01816528559;1.01469567205;1.02975108222;1.02566656816;1.02910420618	98478499.6509;98215880.4813;98551716.2978;97110847.2004;97497571.9244;97171889.2987	ed5fc778f2ce37237798065aef6433ff69a118118acae5b48272de8c6a63c568
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:44:35+00:00	1e-06	RNA_V2_G0009	3	6	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	6.21269643307e-11	99999999.9938	1e-08	99999999	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0009.bw	6.21269643307e-11	8d3078ed012053e35a51adcef0ee44dcdeb115f93f44baafee952832ed085740	175559688	100000000	SRR4069200;SRR4069201;SRR4069202;SRR4069203;SRR4069204;SRR4069205	1.01481647944;1.01494221045;1.01647041241;1.02451244231;1.02309086211;1.02935021349	98539984.3478;98527777.2178;98379646.6469;97607404.1373;97743029.1911;97148665.9148	cb2f3ac59185d094f9bffa9a3f12af8e9f9c7aca074dd7eed2c3e90ebf20fa18
decoded_signal_rescaled_to_1e8_then_raw_coverage_weighted_within_biological_unit_then_equal_mean_across_units	2026-07-15T08:44:52+00:00	1e-06	RNA_V2_G0010	3	4	sample bedGraphToBigWig header totals can differ from interval-decoded totals; formal grouped labels rescale the decoded signal	3.48351150751e-10	100000000.035	0	100000000	False	alphagenome_custom/tracks/rna_seq_v2_grouped/RNA_V2_G0010.bw	3.48351150751e-10	8172526f05ef0a515dd87e2b9fc477b108ee195f2e010ac4b81946d3ba8395cc	84683710	100000000	SRR3535790;SRR3535791;SRR3535792;SRR3535793	1.04514165375;1.0068981301;1.00693381763;1.02230954525	95680810.0042;99314912.8103;99311392.9131;97817730.9062	7d17652c5575bdea88d4fc212762680dcac521bee34be8953fe0521eb4f9e802
