run_accession	sra_url	sra_md5	sra_bytes	sdl_query_url
SRR10882545	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882545/SRR10882545	668181b211b0bb89d752e8549eac2745	1291855050	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882545&accept-alternate-locations=yes
SRR10882546	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882546/SRR10882546	15478bf6a176e68f77b4764ebe6f9212	1358099623	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882546&accept-alternate-locations=yes
SRR10882547	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882547/SRR10882547	c700c929040f218171f270376c104474	1251733255	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882547&accept-alternate-locations=yes
SRR10882548	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882548/SRR10882548	0761713efd35ab1361654295dba1ffbe	1466930926	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882548&accept-alternate-locations=yes
SRR10882549	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882549/SRR10882549	fbb1e1db503eb606738d284a0c1b3c73	1576189608	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882549&accept-alternate-locations=yes
SRR10882550	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882550/SRR10882550	9d547e06d45ee126257a1c8040c244ab	1357663484	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882550&accept-alternate-locations=yes
SRR10882551	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882551/SRR10882551	93270341acfb783f064fcd5f350685c2	1493803803	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882551&accept-alternate-locations=yes
SRR10882552	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10882552/SRR10882552	65dd48648b769ceabe5b606dfde4f324	1284237488	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR10882552&accept-alternate-locations=yes
SRR12483327	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483327/SRR12483327	b65247409592629dab052b0183c632e5	1566862703	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483327&accept-alternate-locations=yes
SRR12483328	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483328/SRR12483328	a97f0ddde120c021fa89edfa46d3bd99	1273627931	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483328&accept-alternate-locations=yes
SRR12483329	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483329/SRR12483329	8547ecf7356e1726769ce0118fbd5167	1237869560	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483329&accept-alternate-locations=yes
SRR12483330	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483330/SRR12483330	18b071f818b39be0ff6fb4f5fc6c5f40	606227977	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483330&accept-alternate-locations=yes
SRR12483331	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483331/SRR12483331	0cdeab0fd8d76905cc7796efb7dbbdda	616012475	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483331&accept-alternate-locations=yes
SRR12483332	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483332/SRR12483332	d0f172edc23a00d263e0415564d55da0	604632545	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483332&accept-alternate-locations=yes
SRR12483333	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483333/SRR12483333	8ab169dac5c3c73a8144df7df2d0da7b	648031955	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483333&accept-alternate-locations=yes
SRR12483334	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483334/SRR12483334	0f218fe388045d53db89cc10860b2382	859206218	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483334&accept-alternate-locations=yes
SRR12483335	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12483335/SRR12483335	df9e73ca955c91dae928f130b8de357d	608751873	https://locate.ncbi.nlm.nih.gov/sdl/2/retrieve?acc=SRR12483335&accept-alternate-locations=yes
