group_id	sample_uid	run_accession	local_path	sha256	biological_replicate	technical_replicate	biological_replicate_evidence	technical_unit_id	technical_run_count	technical_replicate_status	membership_status
RNA_V2_G0001	rna_seq:SRR2541829	SRR2541829	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541829.bw	1100b2667b63fe0dc6c763b0f4098f23f54bd24e36f4042fbda3943b9a9b7866	1	unknown	ENA_sample_title_or_alias	SRX1297650	2	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541830	SRR2541830	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541830.bw	97ce80a9dee5ef4f725bdc5d9453d2e9e394ab29c836b7e0b9a1ef9b2635834f	1	unknown	ENA_sample_title_or_alias	SRX1297650	2	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541831	SRR2541831	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541831.bw	ca403c30e53105be1ad2e9e189d8c2e4afdb1206e0dd59bdaba8cc6dde14ba7f	2	unknown	ENA_sample_title_or_alias	SRX1297651	3	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541832	SRR2541832	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541832.bw	b5421c9101978fbccee96b917eb58bc62c21c3b1d12c85d93ab44e3cfb9dea7d	2	unknown	ENA_sample_title_or_alias	SRX1297651	3	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541833	SRR2541833	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541833.bw	912736658e2b7d498542b393dd76449af3f98061351c5cc0feaadca3c46213ef	2	unknown	ENA_sample_title_or_alias	SRX1297651	3	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541834	SRR2541834	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541834.bw	518de927d37aca73e619195f535c51fef2eda802c416246166357fcadf045c72	3	unknown	ENA_sample_title_or_alias	SRX1297652	3	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541835	SRR2541835	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541835.bw	375de9d6f20f9cd3a012856e4f008ca28caf31847881c712a20a0d9c26f67149	3	unknown	ENA_sample_title_or_alias	SRX1297652	3	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0001	rna_seq:SRR2541836	SRR2541836	shared/sharepoint_2026-07-13/training_input_bigwig/SRR2541836.bw	aad3c5fa1c232b36a3ea8121417a51a038c9629b58d7b47fb860df29f6136c59	3	unknown	ENA_sample_title_or_alias	SRX1297652	3	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0002	rna_seq:SRR1956664	SRR1956664	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956664.bw	65dc04c64af616d25b30257ec3e8ca62f00c339aae4b711a47d5de53f4a51ce4	1	unknown	ENA_sample_title_or_alias	SRX982153	2	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0002	rna_seq:SRR1956665	SRR1956665	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956665.bw	21e18bf222779f4fee58631ff21d57fce1c10b3edb90ea3846679982fc8154b2	1	unknown	ENA_sample_title_or_alias	SRX982153	2	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0002	rna_seq:SRR1956666	SRR1956666	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956666.bw	310b96ef6de6dc728117e3a273c04f964094e62b02af2310ababa9b2441a33a3	2	unknown	ENA_sample_title_or_alias	SRX982154	2	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0002	rna_seq:SRR1956667	SRR1956667	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956667.bw	50d28316bece6ef550efb99f1742a42613b7dbb52e3ef4289ed345a2f57bbbf2	2	unknown	ENA_sample_title_or_alias	SRX982154	2	same_ENA_experiment_multiple_runs	candidate_after_uniform_reprocessing
RNA_V2_G0002	rna_seq:SRR1956668	SRR1956668	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956668.bw	9cec18d6104cca95e0b506b691dff54ee75c99df451cd7c8d378b2749b79e761	3	unknown	ENA_sample_title_or_alias	SRX982155	1	single_run_for_ENA_experiment	candidate_after_uniform_reprocessing
RNA_V2_G0002	rna_seq:SRR1956669	SRR1956669	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956669.bw	77c8a82285fa8d54e36231a163587193d6afe1de9ee65c1074337bf03c497006	4	unknown	ENA_sample_title_or_alias	SRX982156	1	single_run_for_ENA_experiment	candidate_after_uniform_reprocessing
RNA_V2_G0003	rna_seq:SRR1956670	SRR1956670	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956670.bw	75c5fc0545d0b2fe7bcb53e2dfd9b06b0c518b1db617d7305d16c5a0b80462e2	1	unknown	ENA_sample_title_or_alias	SRX982157	1	single_run_for_ENA_experiment	candidate_after_uniform_reprocessing
RNA_V2_G0003	rna_seq:SRR1956671	SRR1956671	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956671.bw	655d74bf94fd05eea731cfedf9a0878fe11c9f58abcb2d60f1dcdea524a9b456	2	unknown	ENA_sample_title_or_alias	SRX982158	1	single_run_for_ENA_experiment	candidate_after_uniform_reprocessing
RNA_V2_G0003	rna_seq:SRR1956672	SRR1956672	shared/sharepoint_2026-07-13/training_input_bigwig/SRR1956672.bw	abcbdff01d33772da8a11760caffa2cc115779d9ef54829d65651e2d623e7b19	3	unknown	ENA_sample_title_or_alias	SRX982159	1	single_run_for_ENA_experiment	candidate_after_uniform_reprocessing
