group_id	sample_uid	run_accession	local_path	sha256	biological_replicate	technical_replicate	biological_replicate_evidence	technical_unit_id	technical_run_count	technical_replicate_status	membership_status	raw_bedgraph_total	decoded_total_signal	decoded_rescale_to_1e8
RNA_V2_G0001	rna_seq:SRR2541829	SRR2541829	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541829.bw	88f2723075734146fc41449b1d610e5933eef84bdb15eb317094ab2232721a0b	1	unknown	ENA_sample_title_or_alias	SRX1297650	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	291709434	99677546.4416	1.00323496685
RNA_V2_G0001	rna_seq:SRR2541830	SRR2541830	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541830.bw	246666e07c85fb21f28f10bd95a989f057e62c16feb3d1a1359e098c1a6835d0	1	unknown	ENA_sample_title_or_alias	SRX1297650	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	388742117	99684585.9653	1.00316412043
RNA_V2_G0001	rna_seq:SRR2541831	SRR2541831	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541831.bw	13c82e5f93959b27500e1653edc72700bd1258774d159c2ee35e6da533e3b903	2	unknown	ENA_sample_title_or_alias	SRX1297651	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	292416142	99744292.9618	1.00256362575
RNA_V2_G0001	rna_seq:SRR2541832	SRR2541832	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541832.bw	36b192307faa72d60ee952d40c94eb1544620cdc17b9ddee9fd3c4540f5f4e40	2	unknown	ENA_sample_title_or_alias	SRX1297651	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	91817712	99710067.0497	1.00290776006
RNA_V2_G0001	rna_seq:SRR2541833	SRR2541833	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541833.bw	24eccd13cb685fa0401778e0436547b0dbc8cfc0af1318dc50ab763204bf83a4	2	unknown	ENA_sample_title_or_alias	SRX1297651	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	140426240	99740486.8232	1.002601884
RNA_V2_G0001	rna_seq:SRR2541834	SRR2541834	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541834.bw	8f94a8be33599861da213dfd9199dd755523b1e157ef2e8ddfb1321d1f2d0b48	3	unknown	ENA_sample_title_or_alias	SRX1297652	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	319922183	99775983.318	1.00224519643
RNA_V2_G0001	rna_seq:SRR2541835	SRR2541835	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541835.bw	800746cf17384c2cd6e30f9eb9390f29315234688cf4737cd369091e84ff2e16	3	unknown	ENA_sample_title_or_alias	SRX1297652	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	123037676	99742336.6951	1.00258328924
RNA_V2_G0001	rna_seq:SRR2541836	SRR2541836	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR2541836.bw	73e6a80dfaf4a36021c65f221308b377c57018c1d557e7c481b42fa1b70480b4	3	unknown	ENA_sample_title_or_alias	SRX1297652	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	183904150	99776645.8249	1.00223854163
RNA_V2_G0002	rna_seq:SRR1956664	SRR1956664	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956664.bw	e1a9422778a1282f68afa1d70b4609f6983858e3413de99e0fe4c40d9a88a4c1	1	unknown	ENA_sample_title_or_alias	SRX982153	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	456358099	99757852.2313	1.00242735547
RNA_V2_G0002	rna_seq:SRR1956665	SRR1956665	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956665.bw	2f9aa14507d48a589342af95758ca93303ba7efa75bfa54029bef16060fdf028	1	unknown	ENA_sample_title_or_alias	SRX982153	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	735643488	99789785.9918	1.00210656838
RNA_V2_G0002	rna_seq:SRR1956666	SRR1956666	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956666.bw	5084c4295cf2e219d26a4793d7b8e1177a521c08c44952936d94d0f70f9db771	2	unknown	ENA_sample_title_or_alias	SRX982154	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	613051977	99858752.9144	1.00141446875
RNA_V2_G0002	rna_seq:SRR1956667	SRR1956667	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956667.bw	159981f923307a3c779650de89862f415949cf26ba0dafd824387cafd58f7ce0	2	unknown	ENA_sample_title_or_alias	SRX982154	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	970543815	99875621.5552	1.00124533337
RNA_V2_G0002	rna_seq:SRR1956668	SRR1956668	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956668.bw	18d19347d60f7c40e96813bfaa2f78a2178ec4b37855fae3bc7de85c507935f1	3	unknown	ENA_sample_title_or_alias	SRX982155	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	1594172601	99708334.8985	1.00292518275
RNA_V2_G0002	rna_seq:SRR1956669	SRR1956669	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956669.bw	da78245920f0d5289ab7c475c535e4a1775adbf2e700669137c67a3f57a54d7b	4	unknown	ENA_sample_title_or_alias	SRX982156	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	1262502914	99814288.0065	1.00186057525
RNA_V2_G0003	rna_seq:SRR1956670	SRR1956670	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956670.bw	9292755cb9207275d3833ac69a753cd155e140bf57ce31a8ab9043c5282a4432	1	unknown	ENA_sample_title_or_alias	SRX982157	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	773063015	99711991.8383	1.00288840045
RNA_V2_G0003	rna_seq:SRR1956671	SRR1956671	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956671.bw	0ac242552c1d2d4b467d77522d27e6a73326e86dc6d58f3e5895c9d2c47e7cf5	2	unknown	ENA_sample_title_or_alias	SRX982158	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	583560738	99680927.4214	1.0032009391
RNA_V2_G0003	rna_seq:SRR1956672	SRR1956672	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956672.bw	3446ef405284efa87679e876219f986bbc0aa743db8b3bad30e2a5b20134ab55	3	unknown	ENA_sample_title_or_alias	SRX982159	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	1461170712	99835499.7927	1.00164771256
RNA_V2_G0003	rna_seq:SRR1956673	SRR1956673	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956673.bw	e2eb991668637dddb3ef04f735d6ff24590c3b57a7caef153d5f73e76328bdf3	4	unknown	ENA_sample_title_or_alias	SRX982160	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	544913390	99945536.2802	1.00054493399
RNA_V2_G0003	rna_seq:SRR1956674	SRR1956674	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956674.bw	4b42054c18d0b77c769f7fbc44ef33646ec001e9ce4ccc1f4ee2f606f9a172b9	4	unknown	ENA_sample_title_or_alias	SRX982160	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	364303314	99945992.8289	1.00054036355
RNA_V2_G0004	rna_seq:SRR1956641	SRR1956641	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956641.bw	fd3d91902c7bd8406fbeffefdaa0fa61363160bc0bfa257e420355bb0e400739	1	unknown	ENA_sample_title_or_alias	SRX982138	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	195334986	99581380.9356	1.0042037885
RNA_V2_G0004	rna_seq:SRR1956642	SRR1956642	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956642.bw	545c3a119cb30c3ec8666ef438c0c58c3cf703828acac385a6f27c8ac3fc9953	1	unknown	ENA_sample_title_or_alias	SRX982138	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	169498687	99552978.2261	1.00449029031
RNA_V2_G0004	rna_seq:SRR1956643	SRR1956643	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956643.bw	16a4918af62797085bde6d86ddcd6091848444df4356d06ca01e18e29c186477	1	unknown	ENA_sample_title_or_alias	SRX982138	3	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	220128033	99587457.8142	1.00414251146
RNA_V2_G0004	rna_seq:SRR1956644	SRR1956644	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956644.bw	17f272e62bb97518b578a0d429153ee53ad8e62901947f1ded49064aee7526e4	2	unknown	ENA_sample_title_or_alias	SRX982139	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	227808452	99648505.2631	1.0035273458
RNA_V2_G0004	rna_seq:SRR1956645	SRR1956645	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956645.bw	c0a576176e976bf11d9469310bacbfe226ca23944755d07382c9762c59540a2a	2	unknown	ENA_sample_title_or_alias	SRX982139	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	317793522	99659631.239	1.00341531227
RNA_V2_G0004	rna_seq:SRR1956646	SRR1956646	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956646.bw	f5ef075907ba60e0ec6715196a1a04c5d7a7662e4b3565d131b570d40cf1e32f	3	unknown	ENA_sample_title_or_alias	SRX982140	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	329764033	99708473.9416	1.00292378418
RNA_V2_G0004	rna_seq:SRR1956647	SRR1956647	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956647.bw	7588c0ac4cb18c3f534cc62b920cd8111b8505921d90e33d22d992a21421d1a0	3	unknown	ENA_sample_title_or_alias	SRX982140	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	260624173	99721250.2244	1.00279528962
RNA_V2_G0004	rna_seq:SRR1956659	SRR1956659	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956659.bw	5e75bec29057b2030d16bcda9bacec0e5dcad552b0bee02b9be03a64f6cb648b	1	unknown	ENA_sample_title_or_alias	SRX982149	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	562564770	99758130.3136	1.00242456114
RNA_V2_G0004	rna_seq:SRR1956660	SRR1956660	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956660.bw	1d7136d60121fb443f22b52eaa755c484ecf2e63665f2c7f980615ad8a5fb5a9	2	unknown	ENA_sample_title_or_alias	SRX982150	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	432884166	99723746.1741	1.00277019102
RNA_V2_G0004	rna_seq:SRR1956661	SRR1956661	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956661.bw	a36b7779b94dc399cae6aae288a369c13096701762b3a2765c50fe303b9f25bd	2	unknown	ENA_sample_title_or_alias	SRX982150	2	same_ENA_experiment_multiple_runs	formal_v2_uniform_reprocessed	695287588	99760681.6047	1.00239892502
RNA_V2_G0004	rna_seq:SRR1956662	SRR1956662	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956662.bw	a37a135265d8d29c39d829e835c85f04147555560c1a0f5c1bd3e56dc986dabc	3	unknown	ENA_sample_title_or_alias	SRX982151	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	1556103446	99805328.4409	1.00195051268
RNA_V2_G0004	rna_seq:SRR1956663	SRR1956663	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956663.bw	7ce87b7e7c8647b6b7d00c4d8af408fe7350a0d945635c9b85a6f65c0517bb97	4	unknown	ENA_sample_title_or_alias	SRX982152	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	913938240	99923857.3872	1.00076200634
RNA_V2_G0005	rna_seq:SRR1956694	SRR1956694	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956694.bw	ae705c81ee60911206ea38af7dea62c12b563043f88c2b56c2889bc42aa6d6c6	1	unknown	ENA_sample_title_or_alias	SRX982177	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	1328282683	99371524.6077	1.00632450186
RNA_V2_G0005	rna_seq:SRR1956695	SRR1956695	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956695.bw	2ca07fe7ac34acf352b08401b2521989a3fbe25999855563437540d323ddf208	2	unknown	ENA_sample_title_or_alias	SRX982178	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	392326246	99619617.9464	1.00381834483
RNA_V2_G0005	rna_seq:SRR1956696	SRR1956696	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956696.bw	0c3aac634090e6c758c7f4a9e2d9e7b6ace7c44388eb92309f1469d670a50707	3	unknown	ENA_sample_title_or_alias	SRX982179	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	364580806	99627649.1625	1.00373742471
RNA_V2_G0005	rna_seq:SRR1956697	SRR1956697	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956697.bw	ada6ceaddfa712213f0cf194e083aa1d7b005ff9d4bbf0c2c825dafe1fc547ec	4	unknown	ENA_sample_title_or_alias	SRX982180	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	356570999	99697096.7332	1.00303823558
RNA_V2_G0006	rna_seq:SRR1956698	SRR1956698	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956698.bw	9cdf9f48f6be4c2609a750136aa9b97d2f891e1686a217c25717406d0a25c029	1	unknown	ENA_sample_title_or_alias	SRX982181	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	1176303968	99345467.9542	1.00658844393
RNA_V2_G0006	rna_seq:SRR1956699	SRR1956699	alphagenome_custom/tracks/rna_seq_v2_normalized/SRR1956699.bw	d2b97e5b8046ad19b5cb25fbf2d5f9e047295831ebbf5bb6fadc62c457346136	2	unknown	ENA_sample_title_or_alias	SRX982182	1	single_run_for_ENA_experiment	formal_v2_uniform_reprocessed	395589417	99297977.2565	1.00706985946
