group_id	group_status	sra_study_accession	bioproject_accession	geo_accession	assay	strand	tissue_or_cell_type	anatomy_curie	anatomy_label	anatomy_mapping_status	development_stage	life_stage_curie	life_stage_label	life_stage_mapping_status	sex	strain	genotype	condition	replicate_relation_status	n_members	n_runs	n_biological_units	sample_ids	ontology_exclusion_reason	include_formal_v2	formal_block_reason
RNA_V2_G0001	candidate_after_uniform_reprocessing	SRP056941	PRJNA280541	GSE67650	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L3	WBls:0000035	L3 larva Ce	exact_stage		BS553	mutated		source_title_or_alias_biological_replicates	8	8	3	SRR2541829,SRR2541830,SRR2541831,SRR2541832,SRR2541833,SRR2541834,SRR2541835,SRR2541836		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0002	candidate_after_uniform_reprocessing	SRP056941	PRJNA280541	GSE67650	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L3	WBls:0000035	L3 larva Ce	exact_stage		CB428	mutated		source_title_or_alias_biological_replicates	6	6	4	SRR1956664,SRR1956665,SRR1956666,SRR1956667,SRR1956668,SRR1956669		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0003	candidate_after_uniform_reprocessing	SRP056941	PRJNA280541	GSE67650	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L3	WBls:0000035	L3 larva Ce	exact_stage		MT14911	mutated		source_title_or_alias_biological_replicates	5	5	4	SRR1956670,SRR1956671,SRR1956672,SRR1956673,SRR1956674		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0004	candidate_after_uniform_reprocessing	SRP056941	PRJNA280541	GSE67650	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L3	WBls:0000035	L3 larva Ce	exact_stage		N2	WT		source_title_or_alias_biological_replicates	12	12	7	SRR1956641,SRR1956642,SRR1956643,SRR1956644,SRR1956645,SRR1956646,SRR1956647,SRR1956659,SRR1956660,SRR1956661,SRR1956662,SRR1956663		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0005	candidate_after_uniform_reprocessing	SRP056941	PRJNA280541	GSE67650	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L3	WBls:0000035	L3 larva Ce	exact_stage		N2, DPY-27 RNAi	WT+treated		source_title_or_alias_biological_replicates	4	4	4	SRR1956694,SRR1956695,SRR1956696,SRR1956697		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0006	candidate_after_uniform_reprocessing	SRP056941	PRJNA280541	GSE67650	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L3	WBls:0000035	L3 larva Ce	exact_stage		N2, Vector RNAi	WT+treated		source_title_or_alias_biological_replicates	4	4	4	SRR1956698,SRR1956699,SRR1956700,SRR1956701		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0007	candidate_after_uniform_reprocessing	SRP075274	PRJNA321853	GSE81520	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L2	WBls:0000027	L2 larva Ce	exact_stage		AM1062	unc-119(ed9)III; rmSi1 II; hsf-1(sy441) I		source_title_or_alias_biological_replicates	6	6	6	SRR4069206,SRR4069207,SRR4069208,SRR4069209,SRR4069210,SRR4069211		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0008	candidate_after_uniform_reprocessing	SRP075274	PRJNA321853	GSE81520	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L2	WBls:0000027	L2 larva Ce	exact_stage		N2	wild type		source_title_or_alias_biological_replicates	6	6	6	SRR3535753,SRR3535754,SRR3535755,SRR3535756,SRR3535757,SRR3535758		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0009	candidate_after_uniform_reprocessing	SRP075274	PRJNA321853	GSE81520	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L2	WBls:0000027	L2 larva Ce	exact_stage		PS3551	hsf-1(sy441)		source_title_or_alias_biological_replicates	6	6	6	SRR4069200,SRR4069201,SRR4069202,SRR4069203,SRR4069204,SRR4069205		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0010	candidate_after_uniform_reprocessing	SRP075276	PRJNA321851	GSE81522	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L2	WBls:0000027	L2 larva Ce	exact_stage		AM1061	hsf-1(ok600); rmSi1[hsf-1::gfp]		source_title_or_alias_biological_replicates	4	4	3	SRR3535790,SRR3535791,SRR3535792,SRR3535793		False	normalization_class_C_requires_uniform_reprocessing
RNA_V2_G0011	candidate_after_uniform_reprocessing	SRP075276	PRJNA321851	GSE81522	RNA-Seq	unknown	whole animal	WBbt:0000100	C. elegans anatomical entity	supported_root_for_whole_organism_sample	L2	WBls:0000027	L2 larva Ce	exact_stage		N2	wild type		source_title_or_alias_biological_replicates	5	5	3	SRR3535780,SRR3535781,SRR3535782,SRR3535783,SRR3535784		False	normalization_class_C_requires_uniform_reprocessing
