sample_uid	field	value	source_type	source_locator	evidence_status
rna_seq:SRR10882545	stage	Embryo	local_project_metadata	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882545	tissue	embryo	ena_sample	shared/metadata_sources/v2/ena_samples/chunk_003.xml	source_reported
rna_seq:SRR10882545	genotype	WT	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882545	data_source	PRJNA601008	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882545	study_title	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	ena_study	shared/metadata_sources/v2/ena_studies/chunk_000.xml	source_reported
rna_seq:SRR10882545	library_strategy	RNA-Seq	ena_read_run	ENA read_run:SRR10882545; sample:SAMN13840505; study:SRP241835	source_reported
rna_seq:SRR10882545	library_layout	SINGLE	ena_read_run	ENA read_run:SRR10882545; sample:SAMN13840505; study:SRP241835	source_reported
rna_seq:SRR10882546	stage	Embryo	local_project_metadata	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882546	tissue	embryo	ena_sample	shared/metadata_sources/v2/ena_samples/chunk_003.xml	source_reported
rna_seq:SRR10882546	genotype	WT	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882546	data_source	PRJNA601008	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882546	study_title	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	ena_study	shared/metadata_sources/v2/ena_studies/chunk_000.xml	source_reported
rna_seq:SRR10882546	library_strategy	RNA-Seq	ena_read_run	ENA read_run:SRR10882546; sample:SAMN13840504; study:SRP241835	source_reported
rna_seq:SRR10882546	library_layout	SINGLE	ena_read_run	ENA read_run:SRR10882546; sample:SAMN13840504; study:SRP241835	source_reported
rna_seq:SRR10882547	stage	Embryo	local_project_metadata	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882547	tissue	embryo	ena_sample	shared/metadata_sources/v2/ena_samples/chunk_003.xml	source_reported
rna_seq:SRR10882547	genotype	WT	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882547	data_source	PRJNA601008	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882547	study_title	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	ena_study	shared/metadata_sources/v2/ena_studies/chunk_000.xml	source_reported
rna_seq:SRR10882547	library_strategy	RNA-Seq	ena_read_run	ENA read_run:SRR10882547; sample:SAMN13840502; study:SRP241835	source_reported
rna_seq:SRR10882547	library_layout	SINGLE	ena_read_run	ENA read_run:SRR10882547; sample:SAMN13840502; study:SRP241835	source_reported
rna_seq:SRR10882548	stage	Embryo	local_project_metadata	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882548	tissue	embryo	ena_sample	shared/metadata_sources/v2/ena_samples/chunk_003.xml	source_reported
rna_seq:SRR10882548	genotype	WT	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882548	data_source	PRJNA601008	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882548	study_title	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	ena_study	shared/metadata_sources/v2/ena_studies/chunk_000.xml	source_reported
rna_seq:SRR10882548	library_strategy	RNA-Seq	ena_read_run	ENA read_run:SRR10882548; sample:SAMN13840501; study:SRP241835	source_reported
rna_seq:SRR10882548	library_layout	SINGLE	ena_read_run	ENA read_run:SRR10882548; sample:SAMN13840501; study:SRP241835	source_reported
rna_seq:SRR10882549	stage	Embryo	local_project_metadata	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882549	tissue	embryo	ena_sample	shared/metadata_sources/v2/ena_samples/chunk_003.xml	source_reported
rna_seq:SRR10882549	genotype	mutated	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882549	data_source	PRJNA601008	provided_batch_table	sharepoint_2026-07-13_new439	source_reported
rna_seq:SRR10882549	study_title	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	ena_study	shared/metadata_sources/v2/ena_studies/chunk_000.xml	source_reported
rna_seq:SRR10882549	library_strategy	RNA-Seq	ena_read_run	ENA read_run:SRR10882549; sample:SAMN13840499; study:SRP241835	source_reported
rna_seq:SRR10882549	library_layout	SINGLE	ena_read_run	ENA read_run:SRR10882549; sample:SAMN13840499; study:SRP241835	source_reported
rna_seq:SRR10882550	stage	Embryo	local_project_metadata	sharepoint_2026-07-13_new439	source_reported
