sample_uid	run_accession	experiment_accession	biosample_accession	sample_alias	sample_title	geo_sample_accession	source_name	sra_study_accession	bioproject_accession	geo_accession	assay	strandedness	tissue_or_cell_type	development_stage	sex	strain	genotype	condition	biological_replicate	biological_replicate_evidence	technical_unit_id	technical_run_count	technical_replicate_status	local_path	sha256	technical_replicate	context_evidence
rna_seq:SRR10882545	SRR10882545	SRX7551587	SAMN13840505	GSM4263661	N2_4_S1_rep1	GSM4263661	WT_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		WT	wild type		1	ENA_sample_title_or_alias	SRX7551587	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882545.bw	6fc164ee4e4d2cbbf287334b564beba8745e9e287f98db3cfec8efcb8969b108	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882546	SRR10882546	SRX7551588	SAMN13840504	GSM4263662	N2_5_S2_rep2	GSM4263662	WT_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		WT	wild type		2	ENA_sample_title_or_alias	SRX7551588	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882546.bw	9971e2d5d18d73faa361aa8ebedb34a56e40b2685e037757c79ee6b683d83a4f	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882547	SRR10882547	SRX7551589	SAMN13840502	GSM4263663	N2_6_S3_rep3	GSM4263663	WT_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		WT	wild type		3	ENA_sample_title_or_alias	SRX7551589	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882547.bw	ae199b4ae53ebc8aa7dbbf96e2f2929ad637662b30ffcfcda83562a54754abaa	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882548	SRR10882548	SRX7551590	SAMN13840501	GSM4263664	N2_11A_S4_rep4	GSM4263664	WT_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		WT	wild type		4	ENA_sample_title_or_alias	SRX7551590	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882548.bw	a56dfcae82fe5b1a03b5901cc4a28a7577cdce18f18d344f5b8b9e910df3d6e2	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882549	SRR10882549	SRX7551591	SAMN13840499	GSM4263665	ngn-1_7B_S5_rep1	GSM4263665	ngn-1(ok2200)_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		mutated	ngn-1(ok2200)		1	ENA_sample_title_or_alias	SRX7551591	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882549.bw	590432f65f1bee99197180ea9b17af9a4ecee8ca3484b5a78722591ea372b56c	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882550	SRR10882550	SRX7551592	SAMN13840498	GSM4263666	ngn-1_8_S6_rep2	GSM4263666	ngn-1(ok2200)_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		mutated	ngn-1(ok2200)		2	ENA_sample_title_or_alias	SRX7551592	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882550.bw	017c1c35c914f70ef8738cd07ee4c5ac1112d382417bf32578de062c50c27baa	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882551	SRR10882551	SRX7551593	SAMN13840506	GSM4263667	ngn-1_9A_S7_rep3	GSM4263667	ngn-1(ok2200)_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		mutated	ngn-1(ok2200)		3	ENA_sample_title_or_alias	SRX7551593	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882551.bw	4e9888f90e39b6b61b31f1a0660f7a17209b143ccf541dbb6f767db3463d8000	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR10882552	SRR10882552	SRX7551594	SAMN13840497	GSM4263668	ngn-1_10_S8_rep4	GSM4263668	ngn-1(ok2200)_embryo	SRP241835	PRJNA601008	GSE143599	RNA-Seq	unknown	embryo	Embryo		mutated	ngn-1(ok2200)		4	ENA_sample_title_or_alias	SRX7551594	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882552.bw	7e3cb462ad4fdf513a3b481e370cba497257c7929cb3aec8e7efdaa276344190	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR12483327	SRR12483327	SRX8976748	SAMN15866067	GSM4733418	875F13: N2_eemb_20°C_rep1	GSM4733418	early embryo	SRP278203	PRJNA658329	GSE156549	RNA-Seq	unknown	early embryo	Embryo		N2 (Bristol)	WT		1	ENA_sample_title_or_alias	SRX8976748	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR12483327.bw	8422277939b1a41f7c44fe783d293e2204b0bd157984178aad42c268d6929180	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
rna_seq:SRR12483328	SRR12483328	SRX8976749	SAMN15866066	GSM4733419	875F14: N2_eemb_20°C_rep2	GSM4733419	early embryo	SRP278203	PRJNA658329	GSE156549	RNA-Seq	unknown	early embryo	Embryo		N2 (Bristol)	WT		2	ENA_sample_title_or_alias	SRX8976749	1	single_run_for_ENA_experiment	shared/sharepoint_2026-07-13/training_input_bigwig/SRR12483328.bw	886da97271d0fe93ba8e57d526eca4da580563b89f502358b3fae2356507c768	unknown	shared/metadata_sources/v2/ena_samples/chunk_003.xml
