sample_uid	run_accession	assay	current_bigwig_group_eligible	canonical_signal_accession	formal_v2_eligible	decision_reasons
rna_seq:SRR10882545	SRR10882545	RNA-Seq	True	SRR10882545	False	awaiting_uniform_reprocessing
rna_seq:SRR10882546	SRR10882546	RNA-Seq	True	SRR10882546	False	awaiting_uniform_reprocessing
rna_seq:SRR10882547	SRR10882547	RNA-Seq	True	SRR10882547	False	awaiting_uniform_reprocessing
rna_seq:SRR10882548	SRR10882548	RNA-Seq	True	SRR10882548	False	awaiting_uniform_reprocessing
rna_seq:SRR10882549	SRR10882549	RNA-Seq	True	SRR10882549	False	awaiting_uniform_reprocessing
rna_seq:SRR10882550	SRR10882550	RNA-Seq	True	SRR10882550	False	awaiting_uniform_reprocessing
rna_seq:SRR10882551	SRR10882551	RNA-Seq	True	SRR10882551	False	awaiting_uniform_reprocessing
rna_seq:SRR10882552	SRR10882552	RNA-Seq	True	SRR10882552	False	awaiting_uniform_reprocessing
rna_seq:SRR12483327	SRR12483327	RNA-Seq	True	SRR12483327	False	awaiting_uniform_reprocessing
rna_seq:SRR12483328	SRR12483328	RNA-Seq	True	SRR12483328	False	awaiting_uniform_reprocessing
rna_seq:SRR12483329	SRR12483329	RNA-Seq	True	SRR12483329	False	awaiting_uniform_reprocessing
rna_seq:SRR12483330	SRR12483330	RNA-Seq	True	SRR12483330	False	awaiting_uniform_reprocessing
rna_seq:SRR12483331	SRR12483331	RNA-Seq	True	SRR12483331	False	awaiting_uniform_reprocessing
rna_seq:SRR12483332	SRR12483332	RNA-Seq	True	SRR12483332	False	awaiting_uniform_reprocessing
rna_seq:SRR12483333	SRR12483333	RNA-Seq	True	SRR12483333	False	awaiting_uniform_reprocessing
rna_seq:SRR12483334	SRR12483334	RNA-Seq	True	SRR12483334	False	awaiting_uniform_reprocessing
rna_seq:SRR12483335	SRR12483335	RNA-Seq	True	SRR12483335	False	awaiting_uniform_reprocessing
rna_seq:SRR12483336	SRR12483336	RNA-Seq	True	SRR12483336	False	awaiting_uniform_reprocessing
rna_seq:SRR12483337	SRR12483337	RNA-Seq	True	SRR12483337	False	awaiting_uniform_reprocessing
rna_seq:SRR12483338	SRR12483338	RNA-Seq	True	SRR12483338	False	awaiting_uniform_reprocessing
rna_seq:SRR12483339	SRR12483339	RNA-Seq	True	SRR12483339	False	awaiting_uniform_reprocessing
rna_seq:SRR12483340	SRR12483340	RNA-Seq	True	SRR12483340	False	awaiting_uniform_reprocessing
rna_seq:SRR12483341	SRR12483341	RNA-Seq	True	SRR12483341	False	awaiting_uniform_reprocessing
rna_seq:SRR12483342	SRR12483342	RNA-Seq	True	SRR12483342	False	awaiting_uniform_reprocessing
rna_seq:SRR12483343	SRR12483343	RNA-Seq	True	SRR12483343	False	awaiting_uniform_reprocessing
rna_seq:SRR12483344	SRR12483344	RNA-Seq	True	SRR12483344	False	awaiting_uniform_reprocessing
rna_seq:SRR12483345	SRR12483345	RNA-Seq	True	SRR12483345	False	awaiting_uniform_reprocessing
