sample_uid	batch	run_accession	experiment_accession	biosample_accession	sra_sample_accession	bioproject_accession	sra_study_accession	geo_accession	pubmed_id	local_path	local_size_bytes	sha256	sha256_matches_prior_inventory	wbcel235_exact	organism	strain	genotype	sex	tissue_or_cell_type	development_stage	condition	assay	library_source	library_selection	library_layout	mean_read_length_bp_derived	read_length_status	strandedness	biological_replicate	technical_replicate	study_title	provided_data_source	sharepoint_paper_lab	provided_stage	sharepoint_stage	ena_sample_stage	provided_tissue	ena_sample_tissue	bigwig_generator	bigwig_reference_genome	bigwig_aligner	bigwig_generation_command	signal_unit	normalization_class	mathematically_convertible_without_source_reads	read_count	base_count	fastq_available	fastq_md5	fastq_file_bytes	fastq_bytes	fastq_ftp	bam_available	bam_bytes	bam_ftp	ena_query_status	metadata_conflict_flags	metadata_evidence_status	include_formal_v2	exclusion_reason
rna_seq:SRR10882545	sharepoint_2026-07-13_new439	SRR10882545	SRX7551587	SAMN13840505	SRS5989052	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882545.bw	48623297	6fc164ee4e4d2cbbf287334b564beba8745e9e287f98db3cfec8efcb8969b108	True	True	Caenorhabditis elegans	WT	WT		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20615924	3113004524	True	d17780f6f640de7f861f696eafb537d7	1772340596	1772340596	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/045/SRR10882545/SRR10882545.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882546	sharepoint_2026-07-13_new439	SRR10882546	SRX7551588	SAMN13840504	SRS5989051	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882546.bw	50517504	9971e2d5d18d73faa361aa8ebedb34a56e40b2685e037757c79ee6b683d83a4f	True	True	Caenorhabditis elegans	WT	WT		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	21758853	3285586803	True	7169bca4ac2adeb48de75ffb904b139f	1864312853	1864312853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/046/SRR10882546/SRR10882546.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882547	sharepoint_2026-07-13_new439	SRR10882547	SRX7551589	SAMN13840502	SRS5989054	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882547.bw	45857133	ae199b4ae53ebc8aa7dbbf96e2f2929ad637662b30ffcfcda83562a54754abaa	True	True	Caenorhabditis elegans	WT	WT		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	19668140	2969889140	True	5b26b2a77bbc84d528927ccdd493b67f	1712661205	1712661205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/047/SRR10882547/SRR10882547.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882548	sharepoint_2026-07-13_new439	SRR10882548	SRX7551590	SAMN13840501	SRS5989053	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882548.bw	53313447	a56dfcae82fe5b1a03b5901cc4a28a7577cdce18f18d344f5b8b9e910df3d6e2	True	True	Caenorhabditis elegans	WT	WT		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	23513093	3550477043	True	e7e5505a5ccf1915e7b620dc25c8c97b	2006849351	2006849351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/048/SRR10882548/SRR10882548.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882549	sharepoint_2026-07-13_new439	SRR10882549	SRX7551591	SAMN13840499	SRS5989055	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882549.bw	54468834	590432f65f1bee99197180ea9b17af9a4ecee8ca3484b5a78722591ea372b56c	True	True	Caenorhabditis elegans	mutated	mutated		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	25149368	3797554568	True	b738d5133f95f8474d5a924236ac7e57	2162746250	2162746250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/049/SRR10882549/SRR10882549.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882550	sharepoint_2026-07-13_new439	SRR10882550	SRX7551592	SAMN13840498	SRS5989056	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882550.bw	47719319	017c1c35c914f70ef8738cd07ee4c5ac1112d382417bf32578de062c50c27baa	True	True	Caenorhabditis elegans	mutated	mutated		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	21674491	3272848141	True	f00f03eb0d16f6843099cc0537424308	1861457963	1861457963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/050/SRR10882550/SRR10882550.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882551	sharepoint_2026-07-13_new439	SRR10882551	SRX7551593	SAMN13840506	SRS5989057	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882551.bw	52900664	4e9888f90e39b6b61b31f1a0660f7a17209b143ccf541dbb6f767db3463d8000	True	True	Caenorhabditis elegans	mutated	mutated		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	23874963	3605119413	True	71346be38a9051725058910b7aaaffaa	2047424995	2047424995	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/051/SRR10882551/SRR10882551.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR10882552	sharepoint_2026-07-13_new439	SRR10882552	SRX7551594	SAMN13840497	SRS5989058	PRJNA601008	SRP241835	GSE143599	32273286	shared/sharepoint_2026-07-13/training_input_bigwig/SRR10882552.bw	50082013	7e3cb462ad4fdf513a3b481e370cba497257c7929cb3aec8e7efdaa276344190	True	True	Caenorhabditis elegans	mutated	mutated		embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	151	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The basic-helix-loop-helix transcription factor ngn-1/neurogenin activates transcription of multiple terminal selector transcription factors in the Caenorhabditis elegans nervous system	PRJNA601008		Embryo				embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	20301202	3065481502	True	d848b37372efd64696c8734af879c91d	1756845138	1756845138	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/052/SRR10882552/SRR10882552.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR12483327	sharepoint_2026-07-13_new439	SRR12483327	SRX8976748	SAMN15866067	SRS7231980	PRJNA658329	SRP278203	GSE156549	33303642	shared/sharepoint_2026-07-13/training_input_bigwig/SRR12483327.bw	58293040	8422277939b1a41f7c44fe783d293e2204b0bd157984178aad42c268d6929180	True	True	Caenorhabditis elegans	N2 (Bristol)	WT		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	Two parallel pathways recruit the H3K9me3 HMT in somatic cells, requiring the Argonaut NRDE-3, or the MBT-domain protein, LIN-61 (RNA-seq)	PRJNA658329		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	90275346	4604042646	True	c447ca38062d63490bb873a09688a512	2395748492	2395748492	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/027/SRR12483327/SRR12483327.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR12483328	sharepoint_2026-07-13_new439	SRR12483328	SRX8976749	SAMN15866066	SRS7231981	PRJNA658329	SRP278203	GSE156549	33303642	shared/sharepoint_2026-07-13/training_input_bigwig/SRR12483328.bw	50110355	886da97271d0fe93ba8e57d526eca4da580563b89f502358b3fae2356507c768	True	True	Caenorhabditis elegans	N2 (Bristol)	WT		early embryo	Embryo		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	51	derived_from_ENA_base_count_read_count_layout	unknown		unknown	Two parallel pathways recruit the H3K9me3 HMT in somatic cells, requiring the Argonaut NRDE-3, or the MBT-domain protein, LIN-61 (RNA-seq)	PRJNA658329		Embryo				early embryo	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	73390372	3742908972	True	db2b8cb50e19ca7066893868176dae8d	1938384566	1938384566	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/028/SRR12483328/SRR12483328.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
