sample_id	drive_id	drive_path	filename	excel_sheet	output_type	assay	strand	track_name	stage	sex	tissue	condition	data_source	note	matched_excel	normalization_status
SRR7443583	1rISMYTTJMQx9bkqY3heKVv6qRNOilHYU	training_input_bigwig/SRR7443583.bw	SRR7443583.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t2 RNA-seq	Embryo T2	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443584	1nVPfyku8XMIGUJdznVtfogE5IZ4MvWVu	training_input_bigwig/SRR7443584.bw	SRR7443584.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t3 RNA-seq	Embryo T3	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443585	1TEa79VsmRWqrJ6qQUL8p7WyfdH8N6NHA	training_input_bigwig/SRR7443585.bw	SRR7443585.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t0 RNA-seq	Embryo T0	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443586	12FgS8Bdc7oQ-wt545Nt7PkcWxtd0xk-J	training_input_bigwig/SRR7443586.bw	SRR7443586.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t1 RNA-seq	Embryo T1	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443587	1aDR9ZaHqyMHlLYTPLavHT45-KCCI-UwS	training_input_bigwig/SRR7443587.bw	SRR7443587.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t1 RNA-seq	Embryo T1	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443588	1pECtW_9urCz-GIEYjnpYhG3mmiwgHcyP	training_input_bigwig/SRR7443588.bw	SRR7443588.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t2 RNA-seq	Embryo T2	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443589	16PB34qlD0wBEjuFVPdItV6v3i839nBVx	training_input_bigwig/SRR7443589.bw	SRR7443589.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t4 RNA-seq	Embryo T4	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443590	15GM1wZn1wYU4_J_yNlfQ-esMDY1zXk0V	training_input_bigwig/SRR7443590.bw	SRR7443590.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t0 RNA-seq	Embryo T0	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443591	1qLwXh60qj688V7v-N96UJ9lsjCAFDae6	training_input_bigwig/SRR7443591.bw	SRR7443591.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t3 RNA-seq	Embryo T3	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
SRR7443592	15S8S0r6WM1GexgmO55MuVvdE59WWtoJa	training_input_bigwig/SRR7443592.bw	SRR7443592.bw	Sheet1	RNA_SEQ	mRNA	.	CUSTOM:muscle_hlh_1:embryo_t4 RNA-seq	Embryo T4	Hermaphrodite	Muscle (hlh-1)		Warner/Murray 2019		True	unknown_from_metadata
