chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
I	2815577	3864153	2815577	3864153	3	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	3337817	4386393	3337817	4386393	3	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	192089	1240665	192089	1240665	3	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	714329	1762905	714329	1762905	3	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	13309529	14358105	13309529	14358105	3	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	13831769	14880345	13831769	14880345	3	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	10686041	11734617	10686041	11734617	3	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
I	11208281	12256857	11208281	12256857	3	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
II	5542558	6591134	5542558	6591134	3	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	6064798	7113374	6064798	7113374	3	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	2919070	3967646	2919070	3967646	3	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	3441310	4489886	3441310	4489886	3	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	10789534	11838110	10789534	11838110	3	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	11311774	12360350	11311774	12360350	3	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	13413022	14461598	13413022	14461598	3	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
II	13935262	14983838	13935262	14983838	3	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
III	2695548	3744124	2695548	3744124	3	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	2955644	4004220	2955644	4004220	3	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	7418236	8466812	7418236	8466812	3	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	7678332	8726908	7678332	8726908	3	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	5056892	6105468	5056892	6105468	3	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	5316988	6365564	5316988	6365564	3	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	12140924	13189500	12140924	13189500	3	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
III	12401020	13449596	12401020	13449596	3	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
IV	9273250	10321826	9273250	10321826	3	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	9797538	10846114	9797538	10846114	3	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	10188706	11237282	10188706	11237282	3	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	12289954	13338530	12289954	13338530	3	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	12814242	13862818	12814242	13862818	3	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	13205410	14253986	13205410	14253986	3	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	223138	1271714	223138	1271714	3	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	747426	1796002	747426	1796002	3	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	1138594	2187170	1138594	2187170	3	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	6256546	7305122	6256546	7305122	3	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
IV	6780834	7829410	6780834	7829410	3	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
IV	7172002	8220578	7172002	8220578	3	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
V	14529418	15577994	14529418	15577994	3	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15053706	16102282	15053706	16102282	3	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15577994	16626570	15577994	16626570	3	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15969162	17017738	15969162	17017738	3	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	10988426	12037002	10988426	12037002	3	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	11512714	12561290	11512714	12561290	3	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	12037002	13085578	12037002	13085578	3	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	12428170	13476746	12428170	13476746	3	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	365450	1414026	365450	1414026	3	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	889738	1938314	889738	1938314	3	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1414026	2462602	1414026	2462602	3	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1805194	2853770	1805194	2853770	3	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	7447434	8496010	7447434	8496010	3	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
