chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
I	2815577	3864153	2815577	3864153	development	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	3337817	4386393	3337817	4386393	development	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	192089	1240665	192089	1240665	development	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	714329	1762905	714329	1762905	development	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	5439065	6487641	5439065	6487641	development	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	5961305	7009881	5961305	7009881	development	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	13309529	14358105	13309529	14358105	development	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	13831769	14880345	13831769	14880345	development	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	10686041	11734617	10686041	11734617	development	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
I	11208281	12256857	11208281	12256857	development	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
II	5542558	6591134	5542558	6591134	development	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	6064798	7113374	6064798	7113374	development	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	2919070	3967646	2919070	3967646	development	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	3441310	4489886	3441310	4489886	development	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	295582	1344158	295582	1344158	development	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	817822	1866398	817822	1866398	development	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	10789534	11838110	10789534	11838110	development	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	11311774	12360350	11311774	12360350	development	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	13413022	14461598	13413022	14461598	development	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
II	13935262	14983838	13935262	14983838	development	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
III	2695548	3744124	2695548	3744124	development	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	2955644	4004220	2955644	4004220	development	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	7418236	8466812	7418236	8466812	development	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	7678332	8726908	7678332	8726908	development	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	9779580	10828156	9779580	10828156	development	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	10039676	11088252	10039676	11088252	development	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	5056892	6105468	5056892	6105468	development	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	5316988	6365564	5316988	6365564	development	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	12140924	13189500	12140924	13189500	development	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
