chromosome	block_id	physical_order	assignment	block_start	block_end	effective_bases	buffer_before_bp	buffer_after_bp	outer_margin_before_bp	outer_margin_after_bp
I	I_block_1	1	cv_fold_2	191065	1763929	1572864	0	1050624	191065	0
I	I_block_2	2	cv_fold_1	2814553	4387417	1572864	1050624	1050624	0	0
I	I_block_3	3	cv_fold_3	5438041	7010905	1572864	1050624	1050624	0	0
I	I_block_4	4	test_locked	8061529	9634393	1572864	1050624	1050624	0	0
I	I_block_5	5	cv_fold_5	10685017	12257881	1572864	1050624	1050624	0	0
I	I_block_6	6	cv_fold_4	13308505	14881369	1572864	1050624	0	0	191065
II	II_block_1	1	cv_fold_3	294558	1867422	1572864	0	1050624	294558	0
II	II_block_2	2	cv_fold_2	2918046	4490910	1572864	1050624	1050624	0	0
II	II_block_3	3	cv_fold_1	5541534	7114398	1572864	1050624	1050624	0	0
II	II_block_4	4	test_locked	8165022	9737886	1572864	1050624	1050624	0	0
II	II_block_5	5	cv_fold_4	10788510	12361374	1572864	1050624	1050624	0	0
II	II_block_6	6	cv_fold_5	13411998	14984862	1572864	1050624	0	0	294559
III	III_block_1	1	test_locked	333180	1643900	1310720	0	1050624	333180	0
III	III_block_2	2	cv_fold_1	2694524	4005244	1310720	1050624	1050624	0	0
III	III_block_3	3	cv_fold_4	5055868	6366588	1310720	1050624	1050624	0	0
III	III_block_4	4	cv_fold_2	7417212	8727932	1310720	1050624	1050624	0	0
III	III_block_5	5	cv_fold_3	9778556	11089276	1310720	1050624	1050624	0	0
III	III_block_6	6	cv_fold_5	12139900	13450620	1310720	1050624	0	0	333181
IV	IV_block_1	1	cv_fold_4	222114	2188194	1966080	0	1050624	222114	0
IV	IV_block_2	2	cv_fold_3	3238818	5204898	1966080	1050624	1050624	0	0
IV	IV_block_3	3	cv_fold_5	6255522	8221602	1966080	1050624	1050624	0	0
IV	IV_block_4	4	cv_fold_1	9272226	11238306	1966080	1050624	1050624	0	0
IV	IV_block_5	5	cv_fold_2	12288930	14255010	1966080	1050624	1050624	0	0
IV	IV_block_6	6	test_locked	15305634	17271714	1966080	1050624	0	0	222115
V	V_block_1	1	cv_fold_4	364426	2854794	2490368	0	1050624	364426	0
V	V_block_2	2	cv_fold_3	3905418	6395786	2490368	1050624	1050624	0	0
V	V_block_3	3	cv_fold_5	7446410	9936778	2490368	1050624	1050624	0	0
V	V_block_4	4	cv_fold_2	10987402	13477770	2490368	1050624	1050624	0	0
V	V_block_5	5	cv_fold_1	14528394	17018762	2490368	1050624	1050624	0	0
V	V_block_6	6	test_locked	18069386	20559754	2490368	1050624	0	0	364426
X	X_block_1	1	cv_fold_1	334671	2300751	1966080	0	1050624	334671	0
X	X_block_2	2	cv_fold_4	3351375	5317455	1966080	1050624	1050624	0	0
X	X_block_3	3	cv_fold_3	6368079	8334159	1966080	1050624	1050624	0	0
X	X_block_4	4	test_locked	9384783	11350863	1966080	1050624	1050624	0	0
X	X_block_5	5	cv_fold_5	12401487	14367567	1966080	1050624	1050624	0	0
X	X_block_6	6	cv_fold_2	15418191	17384271	1966080	1050624	0	0	334671
