chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
I	2815577	3864153	2815577	3864153	5	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	3337817	4386393	3337817	4386393	5	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	192089	1240665	192089	1240665	5	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	714329	1762905	714329	1762905	5	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	5439065	6487641	5439065	6487641	5	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	5961305	7009881	5961305	7009881	5	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	13309529	14358105	13309529	14358105	5	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	13831769	14880345	13831769	14880345	5	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
II	5542558	6591134	5542558	6591134	5	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	6064798	7113374	6064798	7113374	5	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	2919070	3967646	2919070	3967646	5	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	3441310	4489886	3441310	4489886	5	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	295582	1344158	295582	1344158	5	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	817822	1866398	817822	1866398	5	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	10789534	11838110	10789534	11838110	5	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	11311774	12360350	11311774	12360350	5	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
III	2695548	3744124	2695548	3744124	5	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	2955644	4004220	2955644	4004220	5	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	7418236	8466812	7418236	8466812	5	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
